agent_id,subagent_id,relationship,selection_reason,handoff_artifact
TASK_AUDIENCE_DISCOVERY,UTIL_IDENTITY_RESOLUTION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_AUDIENCE_DISCOVERY,UTIL_SEGMENT_RULE_BUILDER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_AUDIENCE_DISCOVERY,UTIL_METRIC_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHURN_RISK_SCORING,UTIL_SQL_QUERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHURN_RISK_SCORING,UTIL_RFM_COMPUTATION,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHURN_RISK_SCORING,UTIL_PROPENSITY_SCORE,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHURN_RISK_SCORING,UTIL_METRIC_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_PRODUCT_RECOMMENDATION,UTIL_SQL_QUERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_PRODUCT_RECOMMENDATION,UTIL_PRODUCT_AFFINITY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_PRODUCT_RECOMMENDATION,UTIL_INVENTORY_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_PRODUCT_RECOMMENDATION,UTIL_NBA_RULE_ENGINE,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_OFFER_OPTIMIZATION,UTIL_COUPON_BUDGET_CALC,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_OFFER_OPTIMIZATION,UTIL_GUARDRAIL_VALIDATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_OFFER_OPTIMIZATION,UTIL_METRIC_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHANNEL_TIMING_SELECTION,UTIL_CONSENT_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHANNEL_TIMING_SELECTION,UTIL_CHANNEL_CONNECTOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CHANNEL_TIMING_SELECTION,UTIL_GUARDRAIL_VALIDATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CONTENT_GENERATION,UTIL_CONTENT_TEMPLATE_RENDERER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CONTENT_GENERATION,UTIL_GUARDRAIL_VALIDATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CAMPAIGN_EXECUTION,UTIL_CAMPAIGN_DRAFT_BUILDER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CAMPAIGN_EXECUTION,UTIL_SCHEDULER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CAMPAIGN_EXECUTION,UTIL_AUDIT_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SA_FOLLOWUP_TASKING,UTIL_CRM_TASK_CREATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SA_FOLLOWUP_TASKING,UTIL_CONTENT_TEMPLATE_RENDERER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SA_FOLLOWUP_TASKING,UTIL_AUDIT_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_SQL_QUERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_GUARDRAIL_VALIDATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_CRM_TASK_CREATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_SERVICE_RECOVERY_PLAYBOOK,UTIL_AUDIT_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_EFFECT_MEASUREMENT,UTIL_SQL_QUERY,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_EFFECT_MEASUREMENT,UTIL_METRIC_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CONSENT_POLICY_CHECK,UTIL_CONSENT_CHECK,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CONSENT_POLICY_CHECK,UTIL_GUARDRAIL_VALIDATOR,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
TASK_CONSENT_POLICY_CHECK,UTIL_AUDIT_LOGGER,delegates_to,Matches required capability and platform boundary,"task_request_json, policy_snapshot, evidence_refs"
