transaction_id,customer_id,transaction_date,channel,store_id,total_amount,discount_amount,payment_method,order_status,campaign_id
TXN000050,CUST00013,2026-06-17,MiniProgram,ST001,843.56,73.35,Cash,Completed,
TXN000051,CUST00014,2026-03-08,POS,ST006,152.67,8.04,WeChatPay,Completed,
TXN000052,CUST00014,2026-03-12,Tmall,ST012,478.31,53.15,Cash,Completed,CMP005
TXN000053,CUST00014,2026-03-20,App,ST009,637.98,10.64,Cash,Completed,CMP003
TXN000054,CUST00014,2026-03-21,POS,ST006,531.45,0.0,WeChatPay,Completed,
TXN000055,CUST00014,2026-03-22,App,ST008,93.12,0.0,CreditCard,Completed,
TXN000056,CUST00014,2026-03-23,POS,ST006,189.22,0.0,StoreValueCard,Completed,
TXN000057,CUST00014,2026-03-25,Douyin,ST002,372.96,4.0,WeChatPay,Completed,
TXN000058,CUST00014,2026-04-08,MiniProgram,ST010,75.23,0.0,StoreValueCard,Completed,
TXN000059,CUST00015,2026-06-14,Tmall,ST010,1976.96,0.0,StoreValueCard,Completed,
TXN000060,CUST00015,2026-06-14,Tmall,ST011,1011.51,0.0,Alipay,Completed,
TXN000061,CUST00016,2025-03-31,Douyin,ST003,630.4,9.6,WeChatPay,Completed,
TXN000062,CUST00016,2025-05-05,MiniProgram,ST007,1030.49,0.0,Alipay,Completed,CMP005
TXN000063,CUST00016,2026-04-13,POS,ST001,463.22,0.0,Alipay,Completed,
TXN000064,CUST00017,2025-02-18,Douyin,ST004,746.29,4.73,Alipay,Completed,
TXN000065,CUST00017,2025-07-20,App,ST006,83.36,0.0,Cash,Completed,
TXN000066,CUST00017,2026-01-06,MiniProgram,ST007,1045.6,107.2,CreditCard,Completed,
TXN000067,CUST00017,2026-05-03,Tmall,ST011,805.27,109.81,StoreValueCard,Completed,CMP005
TXN000068,CUST00017,2026-05-11,Tmall,ST011,471.23,0.0,StoreValueCard,Completed,
TXN000069,CUST00018,2024-03-20,App,ST004,137.36,24.24,StoreValueCard,Completed,
TXN000070,CUST00018,2025-02-28,Tmall,ST002,83.81,9.31,CreditCard,Completed,
TXN000071,CUST00018,2025-03-07,WeChatStore,ST002,396.54,44.06,Alipay,PartiallyReturned,
TXN000072,CUST00018,2025-08-19,POS,ST003,140.84,19.2,Cash,Completed,
TXN000073,CUST00019,2026-04-10,POS,ST006,1513.16,189.18,Alipay,Completed,CMP003
TXN000074,CUST00019,2026-04-14,POS,ST006,664.4,90.6,StoreValueCard,Completed,
TXN000075,CUST00019,2026-04-24,WeChatStore,ST005,1028.77,89.46,WeChatPay,Completed,
TXN000076,CUST00019,2026-06-09,POS,ST006,468.45,49.8,WeChatPay,Completed,
TXN000077,CUST00020,2026-04-19,App,ST004,1125.62,72.44,Alipay,Completed,
TXN000078,CUST00020,2026-04-23,MiniProgram,ST012,1980.49,0.0,WeChatPay,Completed,
TXN000079,CUST00020,2026-04-28,MiniProgram,ST006,3162.4,53.6,CreditCard,Completed,
TXN000080,CUST00020,2026-06-09,App,ST009,1159.14,148.82,WeChatPay,Completed,
TXN000081,CUST00020,2026-06-11,Douyin,ST002,2499.31,0.0,Alipay,Completed,
TXN000082,CUST00020,2026-06-20,WeChatStore,ST006,1948.14,149.09,Alipay,Completed,
TXN000083,CUST00021,2025-05-01,WeChatStore,ST012,1156.38,181.47,WeChatPay,Completed,
TXN000084,CUST00021,2025-06-22,Tmall,ST010,1171.54,0.0,StoreValueCard,Completed,
TXN000085,CUST00021,2025-06-26,Tmall,ST007,1619.04,26.35,Alipay,Completed,
TXN000086,CUST00021,2025-07-23,WeChatStore,ST007,1011.51,0.0,CreditCard,Completed,
TXN000087,CUST00021,2025-08-31,Douyin,ST010,947.34,0.0,Alipay,Completed,
TXN000088,CUST00021,2025-10-15,Tmall,ST012,275.35,23.94,WeChatPay,Completed,
TXN000089,CUST00021,2025-10-20,WeChatStore,ST008,250.36,13.18,StoreValueCard,Completed,
TXN000090,CUST00021,2025-12-02,WeChatStore,ST007,1912.52,135.51,WeChatPay,Completed,
TXN000091,CUST00021,2025-12-28,WeChatStore,ST004,1171.54,0.0,Cash,Returned,
TXN000092,CUST00021,2026-02-08,WeChatStore,ST011,947.34,0.0,StoreValueCard,Completed,
TXN000093,CUST00021,2026-03-14,MiniProgram,ST012,697.51,0.0,Cash,Completed,
TXN000094,CUST00021,2026-03-22,WeChatStore,ST005,4107.13,0.0,WeChatPay,Completed,
TXN000095,CUST00021,2026-04-08,Douyin,ST007,341.94,18.0,CreditCard,Completed,
TXN000096,CUST00021,2026-05-14,POS,ST009,2712.0,195.06,Cash,Completed,
TXN000097,CUST00022,2025-05-25,Tmall,ST004,1207.92,94.73,StoreValueCard,Completed,CMP004
TXN000098,CUST00022,2026-05-29,MiniProgram,ST009,305.95,53.99,CreditCard,Completed,
TXN000099,CUST00023,2026-06-10,MiniProgram,ST011,685.21,0.0,Cash,Completed,
TXN000100,CUST00023,2026-06-19,App,ST003,951.43,76.84,Alipay,Completed,
TXN000101,CUST00024,2026-04-11,MiniProgram,ST004,531.98,28.0,StoreValueCard,Completed,
TXN000102,CUST00024,2026-06-11,POS,ST002,79.19,4.17,Alipay,PartiallyReturned,CMP006
TXN000103,CUST00024,2026-06-23,WeChatStore,ST002,864.11,0.0,Alipay,Completed,
TXN000104,CUST00025,2026-01-07,WeChatStore,ST008,559.98,0.0,WeChatPay,PartiallyReturned,
TXN000105,CUST00025,2026-01-18,App,ST001,466.09,0.0,CreditCard,Completed,
TXN000106,CUST00025,2026-05-29,App,ST006,617.07,28.09,StoreValueCard,Completed,
TXN000107,CUST00026,2026-04-01,MiniProgram,ST003,93.12,0.0,Alipay,PartiallyReturned,
TXN000108,CUST00026,2026-04-09,Tmall,ST009,776.7,4.17,CreditCard,Completed,
TXN000109,CUST00026,2026-04-16,Tmall,ST001,930.59,80.92,WeChatPay,Completed,
TXN000110,CUST00026,2026-05-11,POS,ST002,84.21,4.43,StoreValueCard,Returned,
TXN000111,CUST00026,2026-05-23,MiniProgram,ST007,1113.7,47.24,StoreValueCard,Completed,CMP004
TXN000112,CUST00026,2026-06-13,App,ST006,974.88,132.94,WeChatPay,Completed,
TXN000113,CUST00027,2025-07-25,App,ST008,682.27,0.0,WeChatPay,Completed,CMP002
TXN000114,CUST00027,2025-07-27,App,ST006,670.27,0.0,CreditCard,Completed,
TXN000115,CUST00028,2026-03-03,POS,ST006,62.29,0.0,Alipay,Completed,
TXN000116,CUST00028,2026-03-18,Tmall,ST003,331.77,28.85,WeChatPay,Completed,
TXN000117,CUST00028,2026-03-19,WeChatStore,ST007,833.66,113.68,WeChatPay,Completed,CMP001
TXN000118,CUST00028,2026-03-24,Tmall,ST010,593.36,0.0,WeChatPay,Completed,
TXN000119,CUST00028,2026-04-01,POS,ST006,685.21,0.0,StoreValueCard,Completed,
TXN000120,CUST00028,2026-04-02,App,ST010,2206.64,0.0,Cash,PartiallyReturned,
TXN000121,CUST00028,2026-04-07,Tmall,ST011,2995.36,0.0,StoreValueCard,Completed,CMP006
TXN000122,CUST00028,2026-04-08,App,ST009,305.95,53.99,WeChatPay,Completed,
TXN000123,CUST00029,2025-06-29,Tmall,ST012,516.08,0.0,StoreValueCard,Completed,
TXN000124,CUST00029,2025-08-14,Douyin,ST001,1171.54,0.0,Alipay,PartiallyReturned,
TXN000125,CUST00029,2025-09-09,App,ST002,2023.02,0.0,CreditCard,Completed,
TXN000126,CUST00030,2026-05-16,Douyin,ST004,1264.95,0.0,WeChatPay,Completed,
TXN000127,CUST00030,2026-05-21,Douyin,ST010,1596.54,99.6,WeChatPay,Completed,
TXN000128,CUST00030,2026-05-22,MiniProgram,ST004,1107.82,0.0,WeChatPay,Completed,
TXN000129,CUST00030,2026-05-24,App,ST005,815.06,42.89,Cash,Completed,
TXN000130,CUST00030,2026-05-29,Tmall,ST008,921.17,61.06,StoreValueCard,Completed,
TXN000131,CUST00030,2026-06-02,POS,ST010,501.08,55.68,Alipay,Completed,
TXN000132,CUST00030,2026-06-02,MiniProgram,ST010,1830.05,0.0,Cash,Completed,
TXN000133,CUST00031,2025-12-11,Douyin,ST001,1005.02,99.6,Cash,Completed,
TXN000134,CUST00031,2025-12-30,MiniProgram,ST003,1360.05,129.66,StoreValueCard,Completed,CMP002
TXN000135,CUST00031,2026-02-04,POS,ST003,334.06,0.0,CreditCard,Completed,
TXN000136,CUST00031,2026-02-08,Tmall,ST003,369.05,0.0,StoreValueCard,Completed,
TXN000137,CUST00031,2026-03-08,Douyin,ST008,1030.56,72.23,Cash,Completed,
TXN000138,CUST00031,2026-03-09,Tmall,ST007,871.36,75.77,StoreValueCard,Completed,CMP006
TXN000139,CUST00031,2026-03-19,Tmall,ST008,1030.08,0.0,StoreValueCard,Completed,
TXN000140,CUST00031,2026-04-18,POS,ST003,531.45,0.0,WeChatPay,Completed,
TXN000141,CUST00032,2025-05-28,App,ST002,466.09,0.0,Cash,Completed,
TXN000142,CUST00032,2025-09-07,Douyin,ST009,1260.92,137.54,Alipay,Completed,CMP001
TXN000143,CUST00032,2025-09-30,POS,ST006,420.94,36.6,Cash,Completed,
TXN000144,CUST00032,2025-11-03,MiniProgram,ST005,546.37,47.51,StoreValueCard,Completed,
TXN000145,CUST00032,2025-12-24,Douyin,ST003,80.35,0.0,Alipay,Completed,
TXN000146,CUST00032,2026-05-18,MiniProgram,ST005,315.41,16.6,StoreValueCard,Completed,CMP001
TXN000147,CUST00033,2026-05-24,Douyin,ST006,904.52,52.39,Alipay,Completed,
TXN000148,CUST00033,2026-06-01,MiniProgram,ST012,474.79,41.29,Alipay,PartiallyReturned,
TXN000149,CUST00033,2026-06-02,WeChatStore,ST004,293.97,40.09,Alipay,Completed,
TXN000150,CUST00034,2026-01-03,WeChatStore,ST003,895.9,0.0,Alipay,Completed,
TXN000151,CUST00035,2025-07-20,POS,ST004,284.33,14.96,CreditCard,Completed,
TXN000152,CUST00035,2025-07-25,MiniProgram,ST003,1248.92,0.0,WeChatPay,Completed,
TXN000153,CUST00035,2025-09-06,App,ST008,1206.28,88.57,StoreValueCard,PartiallyReturned,CMP006
TXN000154,CUST00035,2025-12-07,App,ST012,621.24,0.0,Cash,Completed,
TXN000155,CUST00036,2026-06-12,WeChatStore,ST008,1704.7,67.62,CreditCard,Completed,
TXN000156,CUST00037,2025-09-29,MiniProgram,ST001,1052.43,55.39,WeChatPay,Completed,
TXN000157,CUST00037,2026-03-05,MiniProgram,ST012,547.04,0.0,CreditCard,Completed,CMP003
TXN000158,CUST00037,2026-05-29,Tmall,ST003,1760.06,92.56,StoreValueCard,Completed,
TXN000159,CUST00038,2026-06-20,Douyin,ST005,986.04,0.0,Alipay,Completed,
TXN000160,CUST00039,2025-05-11,MiniProgram,ST004,598.58,0.0,WeChatPay,Completed,
TXN000161,CUST00039,2025-05-25,MiniProgram,ST006,2629.2,0.0,WeChatPay,Completed,CMP002
TXN000162,CUST00039,2026-01-08,WeChatStore,ST003,330.74,0.0,WeChatPay,Completed,
TXN000163,CUST00039,2026-01-14,MiniProgram,ST002,1062.9,0.0,StoreValueCard,Completed,
TXN000164,CUST00039,2026-02-06,Tmall,ST008,389.72,43.3,Cash,Completed,
TXN000165,CUST00039,2026-02-28,MiniProgram,ST008,947.13,0.0,Alipay,Completed,
TXN000166,CUST00039,2026-05-20,App,ST011,944.7,0.0,CreditCard,Completed,
TXN000167,CUST00040,2026-02-24,WeChatStore,ST002,947.13,0.0,WeChatPay,Completed,
TXN000168,CUST00040,2026-03-22,Tmall,ST012,613.33,83.64,StoreValueCard,Completed,CMP006
TXN000169,CUST00040,2026-05-07,Douyin,ST003,503.28,43.76,Alipay,Completed,
TXN000170,CUST00041,2025-10-08,App,ST002,379.86,0.0,Cash,Completed,
TXN000171,CUST00041,2025-12-27,Tmall,ST007,678.16,20.01,CreditCard,Completed,
TXN000172,CUST00041,2026-02-11,MiniProgram,ST007,94.61,0.0,WeChatPay,Completed,
TXN000173,CUST00041,2026-04-26,WeChatStore,ST002,75.23,0.0,Cash,Completed,
TXN000174,CUST00041,2026-05-03,Tmall,ST002,503.98,56.0,Cash,Completed,CMP004
TXN000175,CUST00041,2026-05-14,POS,ST012,1049.18,0.0,CreditCard,Completed,
TXN000176,CUST00042,2025-12-17,MiniProgram,ST001,871.06,45.85,Alipay,Completed,
TXN000177,CUST00042,2025-12-21,Tmall,ST008,547.04,0.0,CreditCard,Completed,
TXN000178,CUST00042,2026-01-18,Douyin,ST005,1088.95,0.0,CreditCard,Completed,
TXN000179,CUST00042,2026-02-23,Douyin,ST012,1763.55,0.0,Alipay,Completed,
TXN000180,CUST00042,2026-04-13,Douyin,ST004,1335.09,28.12,Cash,Completed,
TXN000181,CUST00043,2025-07-01,Tmall,ST008,1784.98,75.08,CreditCard,Completed,CMP006
TXN000182,CUST00043,2025-08-08,MiniProgram,ST007,350.6,18.45,Alipay,Completed,
TXN000183,CUST00043,2025-08-31,Tmall,ST007,1151.58,54.58,StoreValueCard,Completed,
TXN000184,CUST00043,2025-11-21,MiniProgram,ST006,339.53,29.52,Cash,Completed,CMP001
TXN000185,CUST00043,2026-02-18,MiniProgram,ST003,299.29,0.0,Cash,Completed,
TXN000186,CUST00043,2026-05-28,MiniProgram,ST010,621.24,0.0,WeChatPay,Completed,CMP001
TXN000187,CUST00044,2026-06-05,WeChatStore,ST004,1062.9,0.0,CreditCard,Completed,
TXN000188,CUST00045,2026-03-12,App,ST004,986.04,0.0,WeChatPay,Completed,
TXN000189,CUST00045,2026-03-13,Douyin,ST003,702.68,68.23,Cash,Completed,
TXN000190,CUST00045,2026-03-14,App,ST007,947.13,0.0,Alipay,Completed,
TXN000191,CUST00045,2026-03-24,Douyin,ST004,895.9,0.0,CreditCard,Completed,
TXN000192,CUST00046,2024-07-08,POS,ST007,440.6,0.0,Alipay,Completed,
TXN000193,CUST00046,2024-09-18,POS,ST007,2935.0,179.83,CreditCard,Completed,
TXN000194,CUST00046,2025-06-11,POS,ST007,360.62,0.0,WeChatPay,PartiallyReturned,
TXN000195,CUST00046,2025-06-13,POS,ST007,360.62,0.0,StoreValueCard,Completed,CMP001
TXN000196,CUST00047,2026-06-11,Tmall,ST002,1061.23,138.25,Alipay,Completed,
TXN000197,CUST00047,2026-06-11,App,ST009,950.14,0.0,WeChatPay,Completed,
TXN000198,CUST00048,2025-08-17,MiniProgram,ST005,470.7,0.0,CreditCard,Completed,
TXN000199,CUST00049,2026-05-31,WeChatStore,ST011,284.33,14.96,CreditCard,Completed,
TXN000200,CUST00050,2025-06-30,MiniProgram,ST009,1072.0,0.0,CreditCard,Completed,
TXN000201,CUST00050,2025-09-29,WeChatStore,ST007,667.87,35.15,Cash,Completed,
TXN000202,CUST00050,2025-10-03,Douyin,ST006,261.31,35.63,WeChatPay,Returned,
TXN000203,CUST00050,2025-10-19,WeChatStore,ST010,627.76,69.75,StoreValueCard,Completed,
TXN000204,CUST00050,2025-11-06,WeChatStore,ST012,911.2,160.8,CreditCard,Completed,
TXN000205,CUST00050,2026-04-22,Tmall,ST011,1114.14,160.91,WeChatPay,Completed,
TXN000206,CUST00050,2026-05-12,POS,ST001,861.35,26.35,Alipay,Completed,
TXN000207,CUST00051,2026-06-06,Douyin,ST001,1171.54,0.0,Alipay,Completed,
TXN000208,CUST00052,2026-05-06,MiniProgram,ST006,1553.91,136.1,WeChatPay,Completed,
TXN000209,CUST00052,2026-05-06,Douyin,ST011,448.02,79.06,CreditCard,Completed,
TXN000210,CUST00052,2026-05-12,Tmall,ST010,1691.41,0.0,WeChatPay,Completed,CMP005
TXN000211,CUST00052,2026-05-16,WeChatStore,ST003,1385.41,0.0,CreditCard,Completed,
TXN000212,CUST00053,2026-03-02,Tmall,ST002,696.97,0.0,Alipay,Completed,
TXN000213,CUST00053,2026-03-03,POS,ST006,995.39,52.39,CreditCard,Completed,CMP005
TXN000214,CUST00053,2026-03-24,Douyin,ST012,523.89,0.0,WeChatPay,Completed,
TXN000215,CUST00053,2026-04-01,Tmall,ST006,1053.13,0.0,CreditCard,Completed,
TXN000216,CUST00053,2026-04-06,App,ST010,729.01,0.0,StoreValueCard,Returned,
TXN000217,CUST00054,2025-08-22,Douyin,ST001,1652.28,225.31,WeChatPay,Completed,
TXN000218,CUST00054,2025-10-03,MiniProgram,ST010,515.18,44.8,CreditCard,PartiallyReturned,
TXN000219,CUST00054,2025-12-08,Tmall,ST012,1291.08,136.77,StoreValueCard,Completed,
TXN000220,CUST00054,2026-02-08,MiniProgram,ST011,864.11,0.0,WeChatPay,Completed,
TXN000221,CUST00054,2026-02-19,Tmall,ST001,1879.81,102.34,Alipay,Completed,
TXN000222,CUST00054,2026-02-22,WeChatStore,ST001,1393.94,0.0,WeChatPay,Completed,
TXN000223,CUST00054,2026-03-03,App,ST003,597.78,0.0,CreditCard,Completed,
TXN000224,CUST00054,2026-05-16,MiniProgram,ST006,919.09,162.19,WeChatPay,PartiallyReturned,CMP001
TXN000225,CUST00054,2026-05-17,Tmall,ST004,889.67,89.59,StoreValueCard,Completed,
TXN000226,CUST00054,2026-05-22,Douyin,ST008,899.77,47.36,Cash,Completed,CMP003
TXN000227,CUST00054,2026-06-19,Tmall,ST009,911.77,0.0,StoreValueCard,Completed,
TXN000228,CUST00055,2026-06-09,MiniProgram,ST007,1597.76,66.81,Cash,Completed,
TXN000229,CUST00055,2026-06-29,Douyin,ST010,561.8,0.0,WeChatPay,Completed,
TXN000230,CUST00056,2024-12-20,POS,ST006,827.4,34.22,CreditCard,Completed,
TXN000231,CUST00056,2025-06-11,POS,ST006,511.05,90.19,CreditCard,Completed,
TXN000232,CUST00056,2026-04-27,Douyin,ST001,843.56,73.35,StoreValueCard,Completed,
TXN000233,CUST00057,2025-12-27,Tmall,ST002,275.35,23.94,StoreValueCard,Completed,
TXN000234,CUST00057,2026-01-16,POS,ST003,1017.14,55.68,Alipay,Completed,
TXN000235,CUST00057,2026-02-28,App,ST010,298.53,0.0,Cash,Completed,
TXN000236,CUST00057,2026-03-22,POS,ST003,1138.04,83.41,CreditCard,Completed,
TXN000237,CUST00057,2026-05-25,POS,ST003,651.26,49.8,StoreValueCard,Completed,
TXN000238,CUST00057,2026-05-28,POS,ST003,470.7,0.0,Alipay,Completed,
TXN000239,CUST00057,2026-05-31,Tmall,ST001,955.17,17.58,CreditCard,Completed,
TXN000240,CUST00058,2026-06-26,POS,ST010,298.53,0.0,StoreValueCard,Completed,
TXN000241,CUST00059,2026-03-20,MiniProgram,ST006,676.28,52.73,WeChatPay,Completed,
TXN000242,CUST00059,2026-04-14,WeChatStore,ST006,440.6,0.0,CreditCard,PartiallyReturned,
TXN000243,CUST00059,2026-06-13,Tmall,ST011,638.56,70.95,Alipay,Completed,
TXN000244,CUST00060,2026-04-11,Tmall,ST010,980.06,108.9,Cash,Completed,
TXN000245,CUST00060,2026-04-17,Tmall,ST002,477.53,84.27,Alipay,Completed,
TXN000246,CUST00060,2026-04-21,WeChatStore,ST012,135.17,7.47,WeChatPay,Completed,
TXN000247,CUST00060,2026-04-24,POS,ST009,68.02,12.0,WeChatPay,Completed,
TXN000248,CUST00060,2026-04-25,WeChatStore,ST009,152.74,8.08,CreditCard,Completed,CMP003
TXN000249,CUST00060,2026-05-01,WeChatStore,ST008,944.12,105.74,Cash,Completed,CMP003
TXN000250,CUST00060,2026-05-03,MiniProgram,ST008,76.33,4.02,Alipay,Completed,
TXN000251,CUST00060,2026-05-21,MiniProgram,ST010,616.04,6.23,Alipay,Completed,CMP005
TXN000252,CUST00061,2025-07-11,App,ST007,721.24,0.0,Alipay,Completed,CMP003
TXN000253,CUST00061,2025-09-25,POS,ST003,233.42,0.0,Alipay,Completed,
TXN000254,CUST00061,2025-10-26,MiniProgram,ST010,697.51,0.0,Cash,Completed,CMP005
TXN000255,CUST00061,2025-11-07,Tmall,ST009,838.13,147.91,Cash,PartiallyReturned,
TXN000256,CUST00062,2025-05-27,MiniProgram,ST003,468.63,44.54,CreditCard,Completed,
TXN000257,CUST00062,2025-06-13,POS,ST005,2249.59,31.32,Alipay,Completed,CMP002
TXN000258,CUST00062,2025-09-03,POS,ST005,1987.8,0.0,StoreValueCard,Completed,
TXN000259,CUST00062,2026-01-21,Tmall,ST001,216.23,0.0,StoreValueCard,Completed,CMP004
TXN000260,CUST00063,2026-03-11,MiniProgram,ST005,871.2,96.8,WeChatPay,Completed,
TXN000261,CUST00063,2026-04-03,Tmall,ST003,874.63,119.27,StoreValueCard,Completed,
TXN000262,CUST00063,2026-05-05,App,ST003,1833.82,0.0,WeChatPay,Completed,
TXN000263,CUST00063,2026-05-24,Tmall,ST011,928.17,24.08,StoreValueCard,Completed,
TXN000264,CUST00063,2026-06-08,Douyin,ST001,556.75,0.0,Alipay,Completed,
TXN000265,CUST00063,2026-06-12,WeChatStore,ST005,751.93,36.91,Alipay,Completed,CMP004
TXN000266,CUST00063,2026-06-22,WeChatStore,ST004,1171.54,0.0,Alipay,Completed,
TXN000267,CUST00064,2026-03-22,POS,ST006,1218.98,79.52,WeChatPay,Completed,
TXN000268,CUST00064,2026-04-03,App,ST011,516.06,0.0,StoreValueCard,Completed,
TXN000269,CUST00064,2026-04-03,Tmall,ST008,815.37,0.0,CreditCard,Completed,
TXN000270,CUST00064,2026-04-20,App,ST006,474.78,41.28,Cash,PartiallyReturned,
TXN000271,CUST00064,2026-04-20,Tmall,ST012,947.34,0.0,StoreValueCard,Completed,CMP005
TXN000272,CUST00064,2026-05-02,App,ST003,833.52,51.61,StoreValueCard,Completed,CMP006
TXN000273,CUST00065,2025-12-10,POS,ST008,351.51,0.0,StoreValueCard,Completed,
TXN000274,CUST00065,2025-12-28,Tmall,ST006,654.92,0.0,StoreValueCard,Completed,
TXN000275,CUST00065,2026-02-03,MiniProgram,ST007,74.34,6.46,WeChatPay,Completed,
TXN000276,CUST00065,2026-02-05,Tmall,ST006,1683.58,0.0,StoreValueCard,Completed,
TXN000277,CUST00065,2026-02-14,Douyin,ST007,309.33,42.18,WeChatPay,Completed,
TXN000278,CUST00065,2026-03-14,Tmall,ST009,471.23,0.0,WeChatPay,Completed,
TXN000279,CUST00065,2026-04-08,WeChatStore,ST002,471.26,80.32,WeChatPay,Completed,
TXN000280,CUST00065,2026-04-18,Tmall,ST010,88.64,0.0,StoreValueCard,Completed,
TXN000281,CUST00066,2026-04-28,WeChatStore,ST008,198.93,17.3,CreditCard,Completed,
TXN000282,CUST00066,2026-05-01,MiniProgram,ST002,812.32,0.0,CreditCard,Completed,
TXN000283,CUST00066,2026-05-05,Douyin,ST004,1321.44,0.0,WeChatPay,Completed,
TXN000284,CUST00066,2026-05-08,Douyin,ST002,1605.99,283.41,StoreValueCard,Completed,CMP001
TXN000285,CUST00066,2026-05-08,WeChatStore,ST001,360.62,0.0,StoreValueCard,Completed,
TXN000286,CUST00066,2026-05-09,Douyin,ST009,359.94,0.0,Alipay,Completed,
TXN000287,CUST00067,2025-12-30,Tmall,ST003,1823.2,0.0,Alipay,Completed,
