interaction_id,campaign_id,customer_id,sent_date,channel,event_status,revenue_attributed,suppression_reason
INT0000032,CMP001,CUST00240,2026-06-21,SMS,unsubscribed,0.0,
INT0000033,CMP001,CUST00255,2026-07-02,SMS,unsubscribed,0.0,
INT0000034,CMP001,CUST00262,2026-06-28,SMS,opened,0.0,
INT0000035,CMP001,CUST00263,2026-06-14,SMS,converted,737.56,
INT0000036,CMP001,CUST00265,2026-06-15,MiniProgram,sent,0.0,
INT0000037,CMP001,CUST00271,2026-06-25,MiniProgram,sent,0.0,
INT0000038,CMP001,CUST00280,2026-06-27,WeCom,clicked,0.0,
INT0000039,CMP001,CUST00283,2026-06-18,SMS,clicked,0.0,
INT0000040,CMP001,CUST00287,2026-07-02,SMS,opened,0.0,
INT0000041,CMP001,CUST00288,2026-06-16,WeCom,sent,0.0,
INT0000042,CMP001,CUST00293,2026-06-14,MiniProgram,opened,0.0,
INT0000043,CMP001,CUST00305,2026-06-22,SMS,clicked,0.0,
INT0000044,CMP001,CUST00316,2026-07-04,SMS,sent,0.0,
INT0000045,CMP001,CUST00320,2026-06-24,SMS,opened,0.0,
INT0000046,CMP001,CUST00321,2026-06-17,MiniProgram,sent,0.0,
INT0000047,CMP001,CUST00322,2026-06-22,SMS,opened,0.0,
INT0000048,CMP001,CUST00328,2026-07-01,SMS,opened,0.0,
INT0000049,CMP001,CUST00345,2026-06-21,SMS,opened,0.0,
INT0000050,CMP001,CUST00353,2026-06-12,MiniProgram,opened,0.0,
INT0000051,CMP001,CUST00356,2026-06-21,SMS,sent,0.0,
INT0000052,CMP001,CUST00360,2026-06-19,MiniProgram,sent,0.0,
INT0000053,CMP001,CUST00362,2026-06-26,SMS,sent,0.0,
INT0000054,CMP001,CUST00365,2026-06-26,WeCom,clicked,0.0,
INT0000055,CMP001,CUST00376,2026-06-25,SMS,sent,0.0,
INT0000056,CMP001,CUST00378,2026-07-01,SMS,opened,0.0,
INT0000057,CMP001,CUST00380,2026-06-13,WeCom,opened,0.0,
INT0000058,CMP001,CUST00382,2026-06-14,SMS,sent,0.0,
INT0000059,CMP001,CUST00386,2026-07-02,SMS,sent,0.0,
INT0000060,CMP001,CUST00403,2026-06-18,MiniProgram,unsubscribed,0.0,
INT0000061,CMP001,CUST00407,2026-06-13,MiniProgram,clicked,0.0,
INT0000062,CMP001,CUST00412,2026-07-02,MiniProgram,opened,0.0,
INT0000063,CMP001,CUST00413,2026-06-19,SMS,opened,0.0,
INT0000064,CMP002,CUST00033,2026-06-05,WeChat,clicked,0.0,
INT0000065,CMP002,CUST00035,2026-06-21,AppPush,opened,0.0,
INT0000066,CMP002,CUST00041,2026-06-23,WeChat,suppressed,0.0,No marketing consent
INT0000067,CMP002,CUST00052,2026-06-01,WeChat,sent,0.0,
INT0000068,CMP002,CUST00061,2026-06-24,WeChat,clicked,0.0,
INT0000069,CMP002,CUST00068,2026-06-08,WeChat,clicked,0.0,
INT0000070,CMP002,CUST00085,2026-06-13,WeChat,clicked,0.0,
INT0000071,CMP002,CUST00093,2026-06-13,AppPush,converted,724.75,
INT0000072,CMP002,CUST00131,2026-06-09,WeChat,opened,0.0,
INT0000073,CMP002,CUST00133,2026-06-09,AppPush,clicked,0.0,
INT0000074,CMP002,CUST00160,2026-06-05,WeChat,opened,0.0,
INT0000075,CMP002,CUST00162,2026-06-12,AppPush,sent,0.0,
INT0000076,CMP002,CUST00166,2026-06-08,WeChat,sent,0.0,
INT0000077,CMP002,CUST00181,2026-06-25,WeChat,clicked,0.0,
INT0000078,CMP002,CUST00184,2026-06-02,AppPush,clicked,0.0,
INT0000079,CMP002,CUST00197,2026-06-07,WeChat,clicked,0.0,
INT0000080,CMP002,CUST00209,2026-06-25,AppPush,sent,0.0,
INT0000081,CMP002,CUST00212,2026-06-25,WeChat,clicked,0.0,
INT0000082,CMP002,CUST00218,2026-06-08,WeChat,opened,0.0,
INT0000083,CMP002,CUST00225,2026-06-17,AppPush,sent,0.0,
INT0000084,CMP002,CUST00243,2026-06-15,WeChat,clicked,0.0,
INT0000085,CMP002,CUST00246,2026-06-08,WeChat,opened,0.0,
INT0000086,CMP002,CUST00255,2026-06-12,WeChat,clicked,0.0,
INT0000087,CMP002,CUST00256,2026-06-10,WeChat,converted,550.7,
INT0000088,CMP002,CUST00265,2026-06-22,WeChat,sent,0.0,
INT0000089,CMP002,CUST00269,2026-06-13,AppPush,opened,0.0,
INT0000090,CMP002,CUST00286,2026-06-14,AppPush,sent,0.0,
INT0000091,CMP002,CUST00288,2026-06-18,WeChat,sent,0.0,
INT0000092,CMP002,CUST00300,2026-06-12,AppPush,sent,0.0,
INT0000093,CMP002,CUST00306,2026-06-13,WeChat,sent,0.0,
INT0000094,CMP002,CUST00313,2026-06-18,AppPush,clicked,0.0,
INT0000095,CMP002,CUST00320,2026-06-21,AppPush,opened,0.0,
INT0000096,CMP002,CUST00328,2026-06-25,WeChat,opened,0.0,
INT0000097,CMP002,CUST00339,2026-06-22,AppPush,opened,0.0,
INT0000098,CMP002,CUST00356,2026-06-03,WeChat,opened,0.0,
INT0000099,CMP002,CUST00360,2026-06-25,WeChat,opened,0.0,
INT0000100,CMP002,CUST00370,2026-06-06,WeChat,clicked,0.0,
INT0000101,CMP002,CUST00378,2026-06-15,AppPush,opened,0.0,
INT0000102,CMP002,CUST00380,2026-06-05,WeChat,clicked,0.0,
INT0000103,CMP002,CUST00392,2026-06-09,AppPush,sent,0.0,
INT0000104,CMP002,CUST00397,2026-06-06,AppPush,sent,0.0,
INT0000105,CMP002,CUST00401,2026-06-23,WeChat,opened,0.0,
INT0000106,CMP002,CUST00402,2026-06-21,AppPush,suppressed,0.0,No marketing consent
INT0000107,CMP002,CUST00405,2026-06-15,WeChat,sent,0.0,
INT0000108,CMP002,CUST00407,2026-06-12,WeChat,sent,0.0,
INT0000109,CMP002,CUST00412,2026-06-22,AppPush,sent,0.0,
INT0000110,CMP002,CUST00417,2026-06-11,WeChat,sent,0.0,
INT0000111,CMP003,CUST00021,2026-06-27,Store Event,unsubscribed,0.0,
INT0000112,CMP003,CUST00034,2026-07-08,WeCom,opened,0.0,
INT0000113,CMP003,CUST00067,2026-07-11,SA Task,converted,445.74,
INT0000114,CMP003,CUST00078,2026-06-25,Store Event,sent,0.0,
INT0000115,CMP003,CUST00084,2026-06-22,WeCom,sent,0.0,
INT0000116,CMP003,CUST00090,2026-07-04,SA Task,suppressed,0.0,No marketing consent
INT0000117,CMP003,CUST00104,2026-07-12,Store Event,clicked,0.0,
INT0000118,CMP003,CUST00106,2026-07-08,WeCom,opened,0.0,
INT0000119,CMP003,CUST00108,2026-07-14,WeCom,opened,0.0,
INT0000120,CMP003,CUST00130,2026-07-14,Store Event,opened,0.0,
INT0000121,CMP003,CUST00145,2026-06-21,Store Event,clicked,0.0,
INT0000122,CMP003,CUST00177,2026-06-21,WeCom,suppressed,0.0,No marketing consent
INT0000123,CMP003,CUST00185,2026-07-02,SA Task,suppressed,0.0,No marketing consent
INT0000124,CMP003,CUST00204,2026-07-03,Store Event,sent,0.0,
INT0000125,CMP003,CUST00211,2026-07-05,SA Task,clicked,0.0,
INT0000126,CMP003,CUST00215,2026-07-10,SA Task,converted,1287.48,
INT0000127,CMP003,CUST00228,2026-06-24,WeCom,converted,2083.45,
INT0000128,CMP003,CUST00231,2026-06-28,WeCom,opened,0.0,
INT0000129,CMP003,CUST00236,2026-07-10,SA Task,opened,0.0,
INT0000130,CMP003,CUST00306,2026-06-27,SA Task,sent,0.0,
INT0000131,CMP003,CUST00315,2026-07-04,WeCom,sent,0.0,
INT0000132,CMP003,CUST00318,2026-06-20,WeCom,opened,0.0,
INT0000133,CMP003,CUST00319,2026-07-07,WeCom,sent,0.0,
INT0000134,CMP003,CUST00369,2026-06-28,SA Task,sent,0.0,
INT0000135,CMP003,CUST00386,2026-07-05,WeCom,clicked,0.0,
INT0000136,CMP003,CUST00400,2026-06-28,WeCom,sent,0.0,
INT0000137,CMP003,CUST00401,2026-07-12,SA Task,opened,0.0,
INT0000138,CMP004,CUST00002,2026-07-03,WeChat,converted,523.1,
INT0000139,CMP004,CUST00004,2026-07-03,WeChat,opened,0.0,
INT0000140,CMP004,CUST00006,2026-07-16,AppPush,sent,0.0,
INT0000141,CMP004,CUST00012,2026-06-25,AppPush,clicked,0.0,
INT0000142,CMP004,CUST00014,2026-07-16,AppPush,opened,0.0,
INT0000143,CMP004,CUST00015,2026-07-07,AppPush,opened,0.0,
INT0000144,CMP004,CUST00016,2026-07-14,AppPush,opened,0.0,
INT0000145,CMP004,CUST00017,2026-07-04,WeChat,converted,1391.45,
INT0000146,CMP004,CUST00026,2026-07-02,SMS,clicked,0.0,
INT0000147,CMP004,CUST00028,2026-07-08,WeChat,opened,0.0,
INT0000148,CMP004,CUST00031,2026-07-01,AppPush,clicked,0.0,
INT0000149,CMP004,CUST00035,2026-07-13,SMS,opened,0.0,
INT0000150,CMP004,CUST00038,2026-07-09,WeChat,sent,0.0,
INT0000151,CMP004,CUST00042,2026-07-13,SMS,clicked,0.0,
INT0000152,CMP004,CUST00051,2026-07-02,AppPush,opened,0.0,
INT0000153,CMP004,CUST00052,2026-07-17,AppPush,opened,0.0,
INT0000154,CMP004,CUST00056,2026-07-05,AppPush,clicked,0.0,
INT0000155,CMP004,CUST00060,2026-07-14,AppPush,clicked,0.0,
INT0000156,CMP004,CUST00062,2026-07-01,AppPush,opened,0.0,
INT0000157,CMP004,CUST00068,2026-07-09,SMS,clicked,0.0,
INT0000158,CMP004,CUST00069,2026-07-02,SMS,converted,1381.45,
INT0000159,CMP004,CUST00081,2026-07-14,AppPush,sent,0.0,
INT0000160,CMP004,CUST00090,2026-07-04,SMS,suppressed,0.0,No marketing consent
INT0000161,CMP004,CUST00094,2026-07-08,AppPush,opened,0.0,
INT0000162,CMP004,CUST00100,2026-07-04,AppPush,opened,0.0,
INT0000163,CMP004,CUST00105,2026-06-27,WeChat,opened,0.0,
INT0000164,CMP004,CUST00107,2026-07-04,SMS,opened,0.0,
INT0000165,CMP004,CUST00110,2026-07-19,SMS,clicked,0.0,
INT0000166,CMP004,CUST00113,2026-06-29,SMS,opened,0.0,
INT0000167,CMP004,CUST00117,2026-06-28,AppPush,opened,0.0,
INT0000168,CMP004,CUST00120,2026-07-06,SMS,sent,0.0,
INT0000169,CMP004,CUST00125,2026-07-10,AppPush,sent,0.0,
INT0000170,CMP004,CUST00127,2026-07-15,SMS,opened,0.0,
INT0000171,CMP004,CUST00131,2026-07-03,SMS,opened,0.0,
INT0000172,CMP004,CUST00142,2026-06-26,WeChat,sent,0.0,
INT0000173,CMP004,CUST00147,2026-07-01,SMS,clicked,0.0,
INT0000174,CMP004,CUST00148,2026-07-11,SMS,opened,0.0,
INT0000175,CMP004,CUST00150,2026-06-29,WeChat,sent,0.0,
INT0000176,CMP004,CUST00156,2026-07-10,SMS,opened,0.0,
INT0000177,CMP004,CUST00158,2026-07-09,WeChat,suppressed,0.0,No marketing consent
INT0000178,CMP004,CUST00162,2026-07-16,SMS,sent,0.0,
INT0000179,CMP004,CUST00173,2026-06-27,WeChat,converted,1278.85,
INT0000180,CMP004,CUST00176,2026-07-19,AppPush,sent,0.0,
INT0000181,CMP004,CUST00184,2026-07-05,WeChat,sent,0.0,
INT0000182,CMP004,CUST00188,2026-07-07,SMS,sent,0.0,
INT0000183,CMP004,CUST00193,2026-06-25,WeChat,clicked,0.0,
INT0000184,CMP004,CUST00202,2026-07-01,SMS,opened,0.0,
INT0000185,CMP004,CUST00203,2026-07-04,WeChat,converted,761.22,
INT0000186,CMP004,CUST00209,2026-07-11,AppPush,sent,0.0,
INT0000187,CMP004,CUST00211,2026-07-02,WeChat,opened,0.0,
INT0000188,CMP004,CUST00212,2026-06-27,SMS,converted,1534.53,
INT0000189,CMP004,CUST00215,2026-06-27,WeChat,clicked,0.0,
INT0000190,CMP004,CUST00219,2026-07-17,WeChat,clicked,0.0,
INT0000191,CMP004,CUST00225,2026-07-14,WeChat,clicked,0.0,
INT0000192,CMP004,CUST00226,2026-07-12,SMS,clicked,0.0,
INT0000193,CMP004,CUST00228,2026-06-29,SMS,sent,0.0,
INT0000194,CMP004,CUST00232,2026-07-01,WeChat,clicked,0.0,
INT0000195,CMP004,CUST00237,2026-07-09,WeChat,opened,0.0,
INT0000196,CMP004,CUST00254,2026-06-30,SMS,sent,0.0,
INT0000197,CMP004,CUST00256,2026-07-09,AppPush,opened,0.0,
INT0000198,CMP004,CUST00263,2026-07-06,SMS,opened,0.0,
INT0000199,CMP004,CUST00270,2026-07-14,SMS,clicked,0.0,
INT0000200,CMP004,CUST00271,2026-07-08,WeChat,opened,0.0,
INT0000201,CMP004,CUST00275,2026-07-04,WeChat,opened,0.0,
INT0000202,CMP004,CUST00282,2026-07-02,SMS,opened,0.0,
INT0000203,CMP004,CUST00283,2026-07-02,AppPush,opened,0.0,
INT0000204,CMP004,CUST00286,2026-07-12,WeChat,sent,0.0,
INT0000205,CMP004,CUST00292,2026-06-26,SMS,suppressed,0.0,No marketing consent
INT0000206,CMP004,CUST00294,2026-06-27,AppPush,sent,0.0,
INT0000207,CMP004,CUST00297,2026-07-12,AppPush,opened,0.0,
INT0000208,CMP004,CUST00299,2026-06-30,WeChat,sent,0.0,
INT0000209,CMP004,CUST00302,2026-07-03,SMS,opened,0.0,
INT0000210,CMP004,CUST00310,2026-06-25,SMS,sent,0.0,
INT0000211,CMP004,CUST00314,2026-06-25,WeChat,opened,0.0,
INT0000212,CMP004,CUST00321,2026-07-08,SMS,opened,0.0,
INT0000213,CMP004,CUST00325,2026-07-08,WeChat,clicked,0.0,
INT0000214,CMP004,CUST00330,2026-07-09,AppPush,opened,0.0,
INT0000215,CMP004,CUST00341,2026-07-13,AppPush,sent,0.0,
INT0000216,CMP004,CUST00342,2026-07-19,WeChat,opened,0.0,
INT0000217,CMP004,CUST00350,2026-06-29,WeChat,sent,0.0,
INT0000218,CMP004,CUST00351,2026-07-17,SMS,converted,808.55,
INT0000219,CMP004,CUST00354,2026-07-19,SMS,opened,0.0,
INT0000220,CMP004,CUST00368,2026-07-12,WeChat,opened,0.0,
INT0000221,CMP004,CUST00371,2026-07-11,SMS,suppressed,0.0,No marketing consent
INT0000222,CMP004,CUST00372,2026-07-06,WeChat,suppressed,0.0,No marketing consent
INT0000223,CMP004,CUST00373,2026-07-08,AppPush,sent,0.0,
INT0000224,CMP004,CUST00375,2026-07-06,SMS,opened,0.0,
INT0000225,CMP004,CUST00380,2026-07-13,SMS,opened,0.0,
INT0000226,CMP004,CUST00388,2026-07-19,WeChat,clicked,0.0,
INT0000227,CMP004,CUST00394,2026-07-06,AppPush,opened,0.0,
INT0000228,CMP004,CUST00398,2026-06-28,AppPush,clicked,0.0,
INT0000229,CMP004,CUST00403,2026-07-02,AppPush,clicked,0.0,
INT0000230,CMP004,CUST00410,2026-06-30,WeChat,opened,0.0,
INT0000231,CMP004,CUST00411,2026-07-19,SMS,sent,0.0,
INT0000232,CMP004,CUST00412,2026-07-10,WeChat,opened,0.0,
INT0000233,CMP005,CUST00005,2026-06-11,CallCenter,opened,0.0,
INT0000234,CMP005,CUST00008,2026-06-17,SA Task,opened,0.0,
INT0000235,CMP005,CUST00018,2026-06-21,SA Task,clicked,0.0,
INT0000236,CMP005,CUST00019,2026-06-23,WeCom,opened,0.0,
INT0000237,CMP005,CUST00049,2026-06-27,CallCenter,opened,0.0,
INT0000238,CMP005,CUST00063,2026-06-25,CallCenter,clicked,0.0,
INT0000239,CMP005,CUST00074,2026-06-18,WeCom,sent,0.0,
INT0000240,CMP005,CUST00080,2026-06-18,CallCenter,sent,0.0,
INT0000241,CMP005,CUST00082,2026-06-23,CallCenter,sent,0.0,
INT0000242,CMP005,CUST00085,2026-06-26,WeCom,opened,0.0,
INT0000243,CMP005,CUST00087,2026-06-25,WeCom,opened,0.0,
INT0000244,CMP005,CUST00094,2026-06-13,CallCenter,converted,999.66,
INT0000245,CMP005,CUST00098,2026-06-13,SA Task,clicked,0.0,
INT0000246,CMP005,CUST00102,2026-06-26,CallCenter,clicked,0.0,
INT0000247,CMP005,CUST00110,2026-06-25,SA Task,converted,1263.41,
INT0000248,CMP005,CUST00114,2026-06-12,WeCom,opened,0.0,
INT0000249,CMP005,CUST00122,2026-06-24,CallCenter,converted,1558.87,
INT0000250,CMP005,CUST00125,2026-06-28,SA Task,opened,0.0,
INT0000251,CMP005,CUST00132,2026-06-23,CallCenter,sent,0.0,
INT0000252,CMP005,CUST00140,2026-06-22,WeCom,opened,0.0,
INT0000253,CMP005,CUST00148,2026-06-06,SA Task,opened,0.0,
INT0000254,CMP005,CUST00151,2026-06-06,SA Task,suppressed,0.0,No marketing consent
INT0000255,CMP005,CUST00152,2026-06-26,WeCom,sent,0.0,
INT0000256,CMP005,CUST00155,2026-06-18,WeCom,sent,0.0,
INT0000257,CMP005,CUST00158,2026-06-15,SA Task,suppressed,0.0,No marketing consent
INT0000258,CMP005,CUST00162,2026-06-09,SA Task,sent,0.0,
INT0000259,CMP005,CUST00163,2026-06-16,CallCenter,suppressed,0.0,No marketing consent
INT0000260,CMP005,CUST00178,2026-06-27,WeCom,opened,0.0,
INT0000261,CMP005,CUST00180,2026-06-05,WeCom,suppressed,0.0,No marketing consent
INT0000262,CMP005,CUST00185,2026-06-27,WeCom,suppressed,0.0,No marketing consent
INT0000263,CMP005,CUST00198,2026-06-18,WeCom,converted,1596.63,
INT0000264,CMP005,CUST00213,2026-06-26,CallCenter,sent,0.0,
INT0000265,CMP005,CUST00216,2026-06-11,CallCenter,suppressed,0.0,No marketing consent
INT0000266,CMP005,CUST00224,2026-06-16,CallCenter,suppressed,0.0,No marketing consent
INT0000267,CMP005,CUST00230,2026-06-25,SA Task,sent,0.0,
INT0000268,CMP005,CUST00231,2026-06-19,CallCenter,clicked,0.0,
INT0000269,CMP005,CUST00232,2026-06-11,SA Task,clicked,0.0,
INT0000270,CMP005,CUST00233,2026-06-08,SA Task,converted,667.96,
INT0000271,CMP005,CUST00234,2026-06-14,SA Task,clicked,0.0,
INT0000272,CMP005,CUST00247,2026-06-16,CallCenter,sent,0.0,
INT0000273,CMP005,CUST00250,2026-06-07,WeCom,sent,0.0,
INT0000274,CMP005,CUST00270,2026-06-21,WeCom,converted,220.21,
INT0000275,CMP005,CUST00271,2026-06-18,SA Task,sent,0.0,
INT0000276,CMP005,CUST00274,2026-06-23,CallCenter,clicked,0.0,
INT0000277,CMP005,CUST00278,2026-06-24,SA Task,opened,0.0,
INT0000278,CMP005,CUST00280,2026-06-13,CallCenter,unsubscribed,0.0,
INT0000279,CMP005,CUST00281,2026-06-16,WeCom,converted,296.17,
INT0000280,CMP005,CUST00289,2026-06-16,WeCom,opened,0.0,
INT0000281,CMP005,CUST00315,2026-06-12,WeCom,opened,0.0,
INT0000282,CMP005,CUST00322,2026-06-24,WeCom,clicked,0.0,
INT0000283,CMP005,CUST00324,2026-06-27,WeCom,opened,0.0,
INT0000284,CMP005,CUST00333,2026-06-07,SA Task,sent,0.0,
INT0000285,CMP005,CUST00336,2026-06-17,SA Task,clicked,0.0,
INT0000286,CMP005,CUST00340,2026-06-09,CallCenter,opened,0.0,
INT0000287,CMP005,CUST00345,2026-06-05,WeCom,opened,0.0,
INT0000288,CMP005,CUST00347,2026-06-13,SA Task,sent,0.0,
INT0000289,CMP005,CUST00353,2026-06-14,SA Task,opened,0.0,
INT0000290,CMP005,CUST00356,2026-06-16,SA Task,clicked,0.0,
INT0000291,CMP005,CUST00365,2026-06-28,CallCenter,opened,0.0,
INT0000292,CMP005,CUST00370,2026-06-05,SA Task,converted,1454.61,
INT0000293,CMP005,CUST00372,2026-06-27,CallCenter,suppressed,0.0,No marketing consent
INT0000294,CMP005,CUST00383,2026-06-07,SA Task,sent,0.0,
INT0000295,CMP005,CUST00408,2026-06-15,WeCom,converted,641.5,
INT0000296,CMP005,CUST00420,2026-06-29,WeCom,sent,0.0,
INT0000297,CMP006,CUST00013,2026-06-22,AppPush,opened,0.0,
INT0000298,CMP006,CUST00030,2026-06-15,MiniProgram,opened,0.0,
INT0000299,CMP006,CUST00038,2026-06-23,WeChat,sent,0.0,
INT0000300,CMP006,CUST00049,2026-06-12,MiniProgram,opened,0.0,
INT0000301,CMP006,CUST00053,2026-06-01,AppPush,converted,1701.75,
INT0000302,CMP006,CUST00055,2026-06-23,AppPush,opened,0.0,
INT0000303,CMP006,CUST00058,2026-06-14,MiniProgram,clicked,0.0,
INT0000304,CMP006,CUST00112,2026-06-19,AppPush,sent,0.0,
INT0000305,CMP006,CUST00120,2026-06-12,WeChat,converted,1287.99,
INT0000306,CMP006,CUST00127,2026-06-16,AppPush,sent,0.0,
INT0000307,CMP006,CUST00148,2026-06-17,WeChat,sent,0.0,
INT0000308,CMP006,CUST00173,2026-06-21,AppPush,unsubscribed,0.0,
INT0000309,CMP006,CUST00189,2026-06-16,MiniProgram,sent,0.0,
INT0000310,CMP006,CUST00196,2026-06-09,WeChat,opened,0.0,
INT0000311,CMP006,CUST00205,2026-06-24,AppPush,opened,0.0,
INT0000312,CMP006,CUST00207,2026-06-10,AppPush,converted,435.0,
INT0000313,CMP006,CUST00219,2026-06-14,WeChat,clicked,0.0,
INT0000314,CMP006,CUST00221,2026-06-09,AppPush,opened,0.0,
INT0000315,CMP006,CUST00230,2026-06-25,MiniProgram,sent,0.0,
INT0000316,CMP006,CUST00235,2026-06-11,MiniProgram,opened,0.0,
INT0000317,CMP006,CUST00238,2026-06-22,MiniProgram,sent,0.0,
INT0000318,CMP006,CUST00243,2026-06-23,AppPush,sent,0.0,
INT0000319,CMP006,CUST00247,2026-06-13,MiniProgram,converted,837.24,
INT0000320,CMP006,CUST00254,2026-06-01,WeChat,clicked,0.0,
INT0000321,CMP006,CUST00257,2026-06-17,AppPush,opened,0.0,
INT0000322,CMP006,CUST00277,2026-06-25,MiniProgram,clicked,0.0,
INT0000323,CMP006,CUST00291,2026-06-09,MiniProgram,opened,0.0,
INT0000324,CMP006,CUST00293,2026-06-03,AppPush,opened,0.0,
INT0000325,CMP006,CUST00299,2026-06-17,MiniProgram,unsubscribed,0.0,
INT0000326,CMP006,CUST00301,2026-06-16,MiniProgram,opened,0.0,
INT0000327,CMP006,CUST00333,2026-06-22,AppPush,opened,0.0,
INT0000328,CMP006,CUST00347,2026-06-01,WeChat,opened,0.0,
INT0000329,CMP006,CUST00352,2026-06-12,MiniProgram,converted,1593.65,
INT0000330,CMP006,CUST00365,2026-06-06,WeChat,opened,0.0,
INT0000331,CMP006,CUST00392,2026-06-25,AppPush,clicked,0.0,
INT0000332,CMP006,CUST00398,2026-06-19,WeChat,opened,0.0,
INT0000333,CMP006,CUST00399,2026-06-23,AppPush,opened,0.0,
INT0000334,CMP006,CUST00409,2026-06-12,AppPush,clicked,0.0,
INT0000335,CMP006,CUST00410,2026-06-08,WeChat,sent,0.0,
