customer_id,marketing_consent,sms_consent,wechat_consent,email_consent,consent_source,updated_at
CUST00073,Y,Y,Y,N,WeChat,2026-02-23 11:00:00
CUST00074,Y,Y,Y,N,CRM Import,2025-09-12 09:00:00
CUST00075,Y,Y,Y,Y,WeChat,2025-12-30 18:00:00
CUST00076,Y,N,Y,N,WeChat,2025-10-21 14:00:00
CUST00077,Y,Y,Y,Y,CRM Import,2026-04-29 13:00:00
CUST00078,Y,N,Y,Y,POS,2025-07-20 10:00:00
CUST00079,Y,N,N,Y,MiniProgram,2026-02-25 21:00:00
CUST00080,Y,N,Y,Y,POS,2026-06-02 10:00:00
CUST00081,Y,Y,Y,N,POS,2025-12-20 15:00:00
CUST00082,Y,Y,N,Y,MiniProgram,2025-10-17 17:00:00
CUST00083,Y,Y,Y,N,MiniProgram,2025-09-03 17:00:00
CUST00084,Y,Y,Y,N,MiniProgram,2025-11-06 18:00:00
CUST00085,Y,N,Y,N,MiniProgram,2025-07-17 15:00:00
CUST00086,Y,Y,Y,N,MiniProgram,2026-04-16 13:00:00
CUST00087,Y,Y,Y,N,CRM Import,2025-08-31 20:00:00
CUST00088,Y,N,Y,N,WeChat,2026-05-14 20:00:00
CUST00089,N,Y,Y,N,WeChat,2026-01-26 12:00:00
CUST00090,N,Y,Y,N,WeChat,2026-05-22 19:00:00
CUST00091,Y,N,Y,N,WeChat,2025-10-12 18:00:00
CUST00092,Y,Y,Y,Y,MiniProgram,2025-08-24 08:00:00
CUST00093,Y,Y,Y,Y,WeChat,2026-03-15 08:00:00
CUST00094,Y,N,Y,Y,POS,2026-02-19 17:00:00
CUST00095,Y,N,Y,N,POS,2025-11-07 11:00:00
CUST00096,Y,Y,Y,Y,WeChat,2026-04-26 13:00:00
CUST00097,Y,N,Y,Y,POS,2026-05-08 13:00:00
CUST00098,Y,Y,Y,N,WeChat,2025-08-14 19:00:00
CUST00099,Y,Y,Y,Y,WeChat,2025-10-12 17:00:00
CUST00100,Y,Y,Y,Y,POS,2025-09-23 19:00:00
CUST00101,Y,Y,Y,N,CRM Import,2025-07-15 12:00:00
CUST00102,Y,Y,Y,Y,CRM Import,2025-07-15 08:00:00
CUST00103,Y,Y,Y,Y,WeChat,2025-09-07 21:00:00
CUST00104,Y,Y,Y,Y,CRM Import,2026-06-11 15:00:00
CUST00105,Y,N,Y,Y,WeChat,2026-06-13 20:00:00
CUST00106,Y,Y,Y,N,POS,2026-01-29 16:00:00
CUST00107,Y,Y,Y,N,CRM Import,2025-10-12 15:00:00
CUST00108,Y,Y,Y,N,WeChat,2025-10-16 11:00:00
CUST00109,Y,Y,Y,Y,MiniProgram,2026-02-25 20:00:00
CUST00110,Y,N,Y,N,WeChat,2026-03-30 08:00:00
CUST00111,Y,N,Y,Y,MiniProgram,2025-09-12 21:00:00
CUST00112,Y,Y,Y,N,CRM Import,2026-06-26 20:00:00
CUST00113,Y,Y,Y,Y,POS,2025-11-09 10:00:00
CUST00114,Y,N,N,N,POS,2026-02-15 10:00:00
CUST00115,Y,Y,Y,N,POS,2026-02-22 10:00:00
CUST00116,N,Y,Y,Y,POS,2026-04-28 08:00:00
CUST00117,Y,Y,Y,N,WeChat,2026-04-21 11:00:00
CUST00118,Y,Y,Y,N,MiniProgram,2026-04-16 18:00:00
CUST00119,Y,Y,Y,N,MiniProgram,2025-11-05 15:00:00
CUST00120,Y,Y,Y,Y,WeChat,2026-05-28 10:00:00
CUST00121,Y,N,Y,N,POS,2025-10-25 14:00:00
CUST00122,Y,Y,Y,N,POS,2025-08-24 14:00:00
CUST00123,N,N,Y,Y,MiniProgram,2026-01-24 18:00:00
CUST00124,Y,Y,Y,Y,POS,2026-01-16 18:00:00
CUST00125,Y,Y,Y,N,CRM Import,2025-09-26 10:00:00
CUST00126,Y,Y,Y,N,CRM Import,2026-03-25 09:00:00
CUST00127,Y,N,Y,N,CRM Import,2026-03-28 12:00:00
CUST00128,Y,Y,Y,Y,CRM Import,2026-03-03 21:00:00
CUST00129,Y,Y,N,N,MiniProgram,2026-06-19 12:00:00
CUST00130,Y,N,Y,N,POS,2026-05-04 13:00:00
CUST00131,Y,N,Y,N,CRM Import,2025-10-14 10:00:00
CUST00132,Y,N,Y,N,WeChat,2025-07-04 10:00:00
CUST00133,Y,N,N,Y,POS,2026-04-03 21:00:00
CUST00134,Y,N,Y,N,POS,2025-10-26 21:00:00
CUST00135,Y,Y,Y,Y,CRM Import,2025-09-17 18:00:00
CUST00136,Y,Y,Y,N,CRM Import,2026-02-26 11:00:00
CUST00137,Y,Y,N,Y,CRM Import,2025-08-18 19:00:00
CUST00138,Y,Y,Y,Y,CRM Import,2026-05-01 18:00:00
CUST00139,Y,N,Y,Y,POS,2025-12-16 21:00:00
CUST00140,Y,Y,Y,Y,WeChat,2025-10-19 14:00:00
CUST00141,Y,N,Y,N,CRM Import,2026-04-03 11:00:00
CUST00142,Y,N,Y,N,WeChat,2026-05-04 21:00:00
CUST00143,Y,N,Y,N,MiniProgram,2026-01-05 10:00:00
CUST00144,Y,Y,Y,N,POS,2026-01-03 14:00:00
CUST00145,Y,Y,N,N,MiniProgram,2026-01-10 09:00:00
CUST00146,Y,Y,Y,N,WeChat,2026-05-05 16:00:00
CUST00147,Y,Y,Y,N,POS,2026-02-13 16:00:00
CUST00148,Y,Y,Y,N,CRM Import,2026-02-10 19:00:00
CUST00149,Y,Y,Y,N,POS,2026-03-07 14:00:00
CUST00150,Y,N,Y,N,MiniProgram,2025-07-24 16:00:00
CUST00151,N,N,Y,Y,POS,2025-11-01 20:00:00
CUST00152,Y,N,Y,N,CRM Import,2025-09-09 15:00:00
CUST00153,N,Y,Y,N,MiniProgram,2025-10-15 16:00:00
CUST00154,N,N,Y,Y,WeChat,2025-09-01 14:00:00
CUST00155,Y,Y,Y,N,POS,2026-01-08 18:00:00
CUST00156,Y,N,Y,N,CRM Import,2025-07-30 12:00:00
CUST00157,Y,N,Y,N,MiniProgram,2026-01-05 12:00:00
CUST00158,N,Y,Y,N,CRM Import,2026-06-19 16:00:00
CUST00159,Y,Y,Y,N,CRM Import,2025-08-05 19:00:00
CUST00160,Y,Y,N,Y,MiniProgram,2026-03-06 13:00:00
CUST00161,Y,N,Y,N,WeChat,2025-08-23 11:00:00
CUST00162,Y,Y,Y,N,MiniProgram,2025-10-09 12:00:00
CUST00163,N,Y,Y,N,POS,2026-06-14 10:00:00
CUST00164,Y,Y,Y,Y,MiniProgram,2025-09-02 17:00:00
CUST00165,Y,Y,N,N,WeChat,2026-04-04 13:00:00
CUST00166,Y,N,Y,N,POS,2025-12-11 19:00:00
CUST00167,Y,Y,Y,Y,WeChat,2026-06-05 12:00:00
CUST00168,Y,Y,Y,N,WeChat,2026-06-16 17:00:00
CUST00169,Y,Y,N,Y,CRM Import,2025-11-21 14:00:00
CUST00170,Y,N,Y,N,MiniProgram,2026-06-17 20:00:00
CUST00171,Y,Y,Y,Y,POS,2026-06-18 13:00:00
CUST00172,Y,Y,Y,N,POS,2026-01-11 19:00:00
CUST00173,Y,Y,N,Y,MiniProgram,2025-10-06 16:00:00
CUST00174,Y,Y,Y,N,CRM Import,2025-07-18 17:00:00
CUST00175,Y,Y,Y,N,WeChat,2026-03-18 16:00:00
CUST00176,Y,N,Y,N,CRM Import,2026-05-15 21:00:00
CUST00177,N,Y,Y,Y,MiniProgram,2026-05-06 14:00:00
CUST00178,Y,Y,Y,N,MiniProgram,2026-03-02 20:00:00
CUST00179,Y,Y,Y,N,POS,2025-08-10 17:00:00
CUST00180,N,Y,Y,Y,POS,2026-01-31 08:00:00
CUST00181,Y,Y,Y,N,MiniProgram,2026-04-06 20:00:00
CUST00182,Y,N,Y,Y,WeChat,2025-08-25 20:00:00
CUST00183,Y,Y,Y,Y,MiniProgram,2025-08-18 18:00:00
CUST00184,Y,N,Y,N,CRM Import,2026-05-05 14:00:00
CUST00185,N,Y,Y,N,POS,2025-11-23 21:00:00
CUST00186,N,N,Y,N,CRM Import,2025-10-02 17:00:00
CUST00187,Y,Y,Y,Y,POS,2026-02-18 11:00:00
CUST00188,Y,Y,Y,Y,WeChat,2026-03-13 13:00:00
CUST00189,Y,Y,Y,Y,MiniProgram,2025-11-05 13:00:00
CUST00190,Y,Y,Y,N,POS,2026-04-04 21:00:00
CUST00191,Y,N,N,Y,POS,2026-05-13 21:00:00
CUST00192,Y,Y,Y,Y,WeChat,2026-06-23 12:00:00
CUST00193,Y,N,Y,Y,MiniProgram,2026-06-01 15:00:00
CUST00194,Y,Y,Y,Y,MiniProgram,2026-04-13 21:00:00
CUST00195,Y,Y,Y,N,POS,2025-11-11 17:00:00
CUST00196,Y,Y,Y,N,MiniProgram,2025-12-16 20:00:00
CUST00197,Y,N,Y,Y,CRM Import,2025-12-24 09:00:00
CUST00198,Y,N,Y,Y,MiniProgram,2025-07-13 12:00:00
CUST00199,N,N,Y,N,CRM Import,2025-11-05 08:00:00
CUST00200,Y,Y,Y,Y,MiniProgram,2026-04-16 19:00:00
CUST00201,Y,Y,Y,Y,CRM Import,2025-11-24 14:00:00
CUST00202,Y,N,Y,Y,MiniProgram,2026-05-13 11:00:00
CUST00203,Y,N,Y,N,POS,2025-09-10 21:00:00
CUST00204,Y,Y,N,N,WeChat,2025-08-12 12:00:00
CUST00205,Y,Y,N,N,POS,2025-07-28 18:00:00
CUST00206,Y,Y,Y,N,CRM Import,2026-05-31 11:00:00
CUST00207,Y,N,N,Y,POS,2025-08-26 10:00:00
CUST00208,Y,N,N,N,CRM Import,2026-06-07 10:00:00
CUST00209,Y,Y,Y,N,CRM Import,2025-07-18 11:00:00
CUST00210,N,Y,Y,N,MiniProgram,2026-02-07 10:00:00
CUST00211,Y,N,N,N,MiniProgram,2026-04-01 21:00:00
CUST00212,Y,N,N,N,WeChat,2025-07-27 13:00:00
CUST00213,Y,Y,Y,N,WeChat,2025-10-22 08:00:00
CUST00214,Y,N,Y,Y,CRM Import,2025-07-26 14:00:00
CUST00215,Y,Y,Y,Y,WeChat,2026-02-17 20:00:00
CUST00216,N,Y,Y,N,CRM Import,2026-02-15 12:00:00
CUST00217,Y,Y,Y,N,MiniProgram,2026-02-12 08:00:00
CUST00218,Y,Y,Y,N,CRM Import,2026-04-03 10:00:00
CUST00219,Y,N,Y,N,POS,2025-09-18 16:00:00
CUST00220,N,Y,Y,N,WeChat,2026-03-22 14:00:00
CUST00221,Y,Y,Y,Y,MiniProgram,2026-04-21 08:00:00
CUST00222,Y,Y,Y,Y,MiniProgram,2025-08-25 11:00:00
CUST00223,Y,Y,Y,Y,POS,2025-09-19 20:00:00
CUST00224,N,N,Y,N,WeChat,2026-01-23 21:00:00
CUST00225,Y,N,Y,Y,MiniProgram,2026-05-28 15:00:00
CUST00226,Y,Y,Y,Y,MiniProgram,2026-01-19 09:00:00
CUST00227,Y,N,Y,Y,POS,2025-07-11 10:00:00
CUST00228,Y,Y,Y,N,CRM Import,2025-09-08 10:00:00
CUST00229,Y,Y,Y,N,CRM Import,2026-05-10 09:00:00
CUST00230,Y,Y,Y,N,CRM Import,2026-06-05 13:00:00
CUST00231,Y,Y,Y,N,WeChat,2025-07-14 17:00:00
CUST00232,Y,Y,Y,N,WeChat,2025-10-26 20:00:00
CUST00233,Y,Y,Y,N,CRM Import,2026-03-12 16:00:00
CUST00234,Y,Y,Y,N,POS,2026-04-15 15:00:00
CUST00235,Y,Y,Y,Y,CRM Import,2025-09-29 19:00:00
CUST00236,Y,Y,N,Y,WeChat,2025-08-31 17:00:00
CUST00237,Y,Y,Y,N,MiniProgram,2025-09-12 10:00:00
CUST00238,Y,N,Y,N,POS,2026-02-19 09:00:00
CUST00239,Y,Y,Y,Y,WeChat,2026-03-30 20:00:00
CUST00240,Y,Y,Y,N,POS,2026-02-18 16:00:00
CUST00241,Y,N,Y,N,CRM Import,2026-06-15 18:00:00
CUST00242,Y,Y,N,N,POS,2025-10-18 08:00:00
CUST00243,Y,N,Y,Y,WeChat,2025-09-05 08:00:00
CUST00244,Y,Y,Y,N,MiniProgram,2026-06-19 13:00:00
CUST00245,Y,Y,Y,Y,POS,2025-08-14 19:00:00
CUST00246,Y,Y,N,N,MiniProgram,2025-11-07 13:00:00
CUST00247,Y,Y,Y,N,MiniProgram,2026-04-15 14:00:00
CUST00248,Y,Y,Y,Y,CRM Import,2025-10-29 12:00:00
CUST00249,Y,Y,Y,Y,CRM Import,2026-04-08 17:00:00
CUST00250,Y,N,N,Y,CRM Import,2026-05-14 15:00:00
CUST00251,Y,Y,Y,N,POS,2026-01-04 16:00:00
CUST00252,Y,Y,Y,N,WeChat,2026-06-08 21:00:00
CUST00253,Y,Y,Y,N,CRM Import,2026-04-17 18:00:00
CUST00254,Y,Y,Y,N,MiniProgram,2026-03-23 16:00:00
CUST00255,Y,N,N,Y,CRM Import,2026-03-28 20:00:00
CUST00256,Y,N,Y,Y,CRM Import,2026-01-16 21:00:00
CUST00257,Y,Y,Y,Y,CRM Import,2025-09-16 21:00:00
CUST00258,Y,N,Y,N,MiniProgram,2025-10-14 21:00:00
CUST00259,Y,Y,Y,Y,MiniProgram,2025-11-29 13:00:00
CUST00260,Y,Y,N,N,POS,2025-11-07 19:00:00
CUST00261,Y,Y,Y,Y,WeChat,2026-03-15 13:00:00
CUST00262,Y,N,Y,N,MiniProgram,2026-06-17 19:00:00
CUST00263,Y,N,Y,N,POS,2026-02-10 20:00:00
CUST00264,Y,N,Y,N,CRM Import,2026-03-05 15:00:00
CUST00265,Y,Y,Y,Y,CRM Import,2026-05-27 10:00:00
CUST00266,Y,N,N,N,WeChat,2025-07-04 18:00:00
CUST00267,N,Y,Y,Y,POS,2025-08-14 09:00:00
CUST00268,Y,N,Y,Y,MiniProgram,2026-04-06 21:00:00
CUST00269,Y,Y,Y,N,MiniProgram,2026-05-16 19:00:00
CUST00270,Y,Y,Y,Y,WeChat,2025-11-12 19:00:00
CUST00271,Y,Y,Y,Y,MiniProgram,2026-01-18 08:00:00
CUST00272,N,Y,Y,N,POS,2025-11-23 18:00:00
CUST00273,Y,Y,Y,N,CRM Import,2025-07-23 14:00:00
CUST00274,Y,Y,N,Y,MiniProgram,2025-12-27 14:00:00
CUST00275,Y,Y,Y,Y,MiniProgram,2025-08-18 16:00:00
CUST00276,Y,N,Y,N,MiniProgram,2025-07-28 16:00:00
CUST00277,Y,Y,Y,N,WeChat,2025-07-14 10:00:00
CUST00278,Y,N,Y,Y,MiniProgram,2026-04-01 17:00:00
CUST00279,Y,Y,Y,N,POS,2025-08-22 11:00:00
CUST00280,Y,Y,Y,N,CRM Import,2025-09-13 13:00:00
CUST00281,Y,N,Y,N,MiniProgram,2026-03-04 12:00:00
CUST00282,Y,N,Y,Y,MiniProgram,2026-02-10 14:00:00
CUST00283,Y,N,Y,N,MiniProgram,2026-05-09 10:00:00
CUST00284,Y,Y,Y,Y,MiniProgram,2025-07-28 19:00:00
CUST00285,Y,Y,Y,Y,WeChat,2026-05-14 12:00:00
CUST00286,Y,Y,Y,Y,MiniProgram,2026-05-17 09:00:00
CUST00287,Y,Y,Y,N,CRM Import,2026-04-21 12:00:00
CUST00288,Y,Y,Y,Y,WeChat,2025-09-23 20:00:00
CUST00289,Y,Y,Y,N,WeChat,2026-04-14 11:00:00
CUST00290,Y,N,Y,Y,WeChat,2025-08-12 11:00:00
CUST00291,Y,Y,Y,Y,CRM Import,2025-11-28 12:00:00
CUST00292,N,Y,Y,N,POS,2025-08-11 12:00:00
CUST00293,Y,N,Y,N,MiniProgram,2026-01-29 09:00:00
CUST00294,Y,Y,Y,N,CRM Import,2025-07-26 11:00:00
CUST00295,Y,Y,Y,Y,WeChat,2026-03-23 10:00:00
CUST00296,Y,Y,Y,N,POS,2025-09-09 16:00:00
CUST00297,Y,Y,N,Y,POS,2026-03-14 10:00:00
CUST00298,Y,N,Y,N,MiniProgram,2025-12-20 18:00:00
CUST00299,Y,Y,Y,N,POS,2025-08-23 20:00:00
CUST00300,Y,Y,Y,Y,POS,2025-08-27 18:00:00
CUST00301,Y,Y,Y,Y,WeChat,2026-04-12 08:00:00
CUST00302,Y,Y,Y,Y,POS,2025-10-21 09:00:00
CUST00303,Y,Y,Y,N,WeChat,2025-12-17 17:00:00
CUST00304,Y,Y,Y,N,MiniProgram,2025-07-04 09:00:00
CUST00305,Y,Y,Y,N,CRM Import,2025-07-13 13:00:00
CUST00306,Y,N,Y,N,MiniProgram,2026-03-16 16:00:00
CUST00307,Y,Y,Y,N,WeChat,2026-03-15 09:00:00
CUST00308,Y,Y,Y,Y,WeChat,2026-01-16 09:00:00
CUST00309,Y,Y,Y,N,CRM Import,2026-04-21 15:00:00
CUST00310,Y,N,Y,N,CRM Import,2025-11-21 13:00:00
CUST00311,Y,N,N,N,WeChat,2025-07-10 09:00:00
CUST00312,Y,Y,N,N,WeChat,2025-09-07 08:00:00
CUST00313,Y,Y,Y,Y,MiniProgram,2025-12-22 14:00:00
CUST00314,Y,N,Y,Y,POS,2025-07-13 21:00:00
CUST00315,Y,N,Y,N,WeChat,2025-08-25 20:00:00
CUST00316,Y,N,N,Y,CRM Import,2025-12-17 20:00:00
CUST00317,Y,Y,N,Y,WeChat,2025-07-12 13:00:00
CUST00318,Y,Y,Y,N,POS,2025-10-25 15:00:00
CUST00319,Y,Y,N,N,POS,2025-09-17 20:00:00
CUST00320,Y,Y,Y,N,WeChat,2026-03-15 14:00:00
CUST00321,Y,N,Y,N,WeChat,2026-01-30 08:00:00
CUST00322,Y,N,N,N,WeChat,2026-02-11 15:00:00
CUST00323,Y,N,Y,Y,WeChat,2025-10-01 15:00:00
CUST00324,Y,Y,Y,N,MiniProgram,2026-01-23 16:00:00
CUST00325,Y,Y,Y,Y,POS,2026-04-10 21:00:00
CUST00326,Y,Y,Y,Y,CRM Import,2025-07-19 14:00:00
CUST00327,Y,Y,Y,N,POS,2026-02-16 14:00:00
CUST00328,Y,N,Y,Y,WeChat,2025-12-24 09:00:00
CUST00329,N,Y,N,N,WeChat,2026-06-02 20:00:00
CUST00330,Y,Y,Y,N,MiniProgram,2026-02-14 09:00:00
CUST00331,Y,Y,Y,N,CRM Import,2026-05-15 17:00:00
CUST00332,N,Y,Y,Y,MiniProgram,2026-06-17 09:00:00
CUST00333,Y,Y,Y,N,MiniProgram,2026-04-24 15:00:00
CUST00334,Y,Y,Y,Y,POS,2025-10-28 12:00:00
CUST00335,Y,Y,Y,N,MiniProgram,2025-11-08 08:00:00
CUST00336,Y,Y,Y,N,CRM Import,2025-11-20 08:00:00
CUST00337,Y,Y,Y,Y,CRM Import,2026-06-06 14:00:00
CUST00338,Y,Y,Y,Y,MiniProgram,2026-05-06 20:00:00
CUST00339,Y,Y,Y,N,MiniProgram,2025-12-13 20:00:00
CUST00340,Y,Y,Y,N,MiniProgram,2026-03-06 08:00:00
CUST00341,Y,Y,Y,N,CRM Import,2025-08-13 14:00:00
CUST00342,Y,N,Y,Y,WeChat,2025-11-14 11:00:00
CUST00343,Y,N,Y,Y,CRM Import,2025-08-16 11:00:00
CUST00344,N,Y,N,N,CRM Import,2026-01-16 17:00:00
CUST00345,Y,Y,N,N,MiniProgram,2025-08-02 16:00:00
CUST00346,Y,Y,N,Y,POS,2026-05-16 14:00:00
CUST00347,Y,N,N,N,MiniProgram,2026-06-19 14:00:00
CUST00348,Y,N,Y,N,POS,2026-04-18 14:00:00
CUST00349,Y,Y,Y,N,WeChat,2026-05-01 10:00:00
CUST00350,Y,Y,Y,N,CRM Import,2026-04-12 11:00:00
CUST00351,Y,Y,N,Y,MiniProgram,2025-07-24 20:00:00
CUST00352,Y,N,Y,N,POS,2026-02-19 09:00:00
CUST00353,Y,Y,N,N,MiniProgram,2026-03-09 17:00:00
CUST00354,Y,N,Y,N,CRM Import,2025-08-06 09:00:00
CUST00355,Y,Y,Y,Y,CRM Import,2025-12-15 13:00:00
CUST00356,Y,N,N,N,MiniProgram,2026-05-04 08:00:00
CUST00357,Y,Y,Y,N,CRM Import,2026-04-28 10:00:00
CUST00358,Y,N,Y,N,WeChat,2026-04-06 17:00:00
CUST00359,Y,N,Y,Y,MiniProgram,2026-06-16 19:00:00
CUST00360,Y,Y,Y,Y,CRM Import,2025-12-03 08:00:00
CUST00361,Y,Y,Y,N,WeChat,2026-06-01 17:00:00
CUST00362,Y,Y,Y,Y,WeChat,2025-09-24 19:00:00
CUST00363,Y,Y,Y,N,WeChat,2025-09-04 09:00:00
CUST00364,Y,Y,Y,Y,WeChat,2026-01-17 14:00:00
CUST00365,Y,Y,Y,Y,MiniProgram,2026-03-14 18:00:00
CUST00366,Y,N,Y,N,POS,2026-04-10 21:00:00
CUST00367,Y,Y,Y,Y,CRM Import,2026-04-15 15:00:00
CUST00368,Y,Y,N,Y,WeChat,2025-10-11 18:00:00
CUST00369,Y,Y,Y,N,WeChat,2026-02-14 13:00:00
CUST00370,Y,N,Y,N,MiniProgram,2026-01-26 15:00:00
CUST00371,N,Y,N,N,CRM Import,2025-12-12 14:00:00
CUST00372,N,Y,Y,N,WeChat,2025-12-21 17:00:00
CUST00373,Y,Y,N,N,MiniProgram,2025-10-02 18:00:00
CUST00374,Y,N,N,Y,WeChat,2026-04-06 19:00:00
CUST00375,Y,Y,Y,Y,POS,2025-11-07 20:00:00
CUST00376,Y,Y,Y,Y,MiniProgram,2025-12-25 18:00:00
CUST00377,Y,N,Y,Y,CRM Import,2026-03-21 13:00:00
CUST00378,Y,Y,Y,Y,MiniProgram,2026-03-15 10:00:00
CUST00379,Y,Y,Y,N,POS,2025-09-25 19:00:00
CUST00380,Y,Y,N,N,MiniProgram,2026-06-02 15:00:00
CUST00381,Y,Y,Y,Y,CRM Import,2025-08-30 17:00:00
CUST00382,Y,Y,Y,Y,CRM Import,2025-09-19 08:00:00
CUST00383,Y,Y,Y,N,CRM Import,2025-12-14 17:00:00
CUST00384,Y,Y,N,N,CRM Import,2025-08-06 21:00:00
CUST00385,N,Y,Y,Y,MiniProgram,2026-03-22 12:00:00
CUST00386,Y,N,Y,N,MiniProgram,2026-03-27 08:00:00
CUST00387,N,Y,Y,Y,WeChat,2026-04-21 17:00:00
CUST00388,Y,Y,N,N,WeChat,2026-03-11 13:00:00
CUST00389,Y,Y,N,Y,POS,2026-02-14 19:00:00
CUST00390,N,Y,Y,N,POS,2025-08-12 12:00:00
CUST00391,Y,N,Y,Y,CRM Import,2025-07-26 08:00:00
CUST00392,Y,Y,Y,Y,POS,2026-05-12 15:00:00
CUST00393,Y,Y,Y,Y,MiniProgram,2025-11-06 16:00:00
CUST00394,Y,Y,Y,N,WeChat,2026-01-14 20:00:00
