event_id,customer_id,event_timestamp,event_type,channel,product_id,session_id,value
EVT0000042,CUST00006,2026-04-14 22:53:00,product_view,App,PRD0049,6bddf74f81cfef,0.564
EVT0000043,CUST00006,2026-04-23 13:16:00,product_view,POS,PRD0037,3f65d71abf4442,0.928
EVT0000044,CUST00006,2026-03-20 09:03:00,page_view,MiniProgram,PRD0037,0f50716c7f2706,0.94
EVT0000045,CUST00006,2026-03-02 20:23:00,add_to_cart,App,PRD0051,0048780ab1691d,0.898
EVT0000046,CUST00006,2026-06-13 08:39:00,add_to_cart,WeChat,PRD0037,8a8c87b16924e1,0.451
EVT0000047,CUST00006,2026-03-23 08:12:00,page_view,Douyin,PRD0052,0360c3eba80420,0.319
EVT0000048,CUST00006,2026-03-20 17:18:00,store_visit,POS,PRD0048,0f6b48b6cc8ee9,0.746
EVT0000049,CUST00006,2026-04-20 17:20:00,product_view,MiniProgram,PRD0046,fd7e8f4a5c9fca,0.691
EVT0000050,CUST00007,2026-03-20 18:04:00,product_view,POS,PRD0038,18f53e6cbc92c6,0.88
EVT0000051,CUST00007,2026-02-08 20:00:00,add_to_cart,Tmall,PRD0060,9ef865e6a49a5d,0.186
EVT0000052,CUST00007,2026-06-28 22:59:00,product_view,MiniProgram,PRD0047,532c69bf075574,0.35
EVT0000053,CUST00007,2026-04-10 16:28:00,product_view,MiniProgram,PRD0046,d65fcbbcc639a8,0.56
EVT0000054,CUST00007,2026-05-15 09:45:00,add_to_cart,Douyin,PRD0042,a713b274416ece,0.203
EVT0000055,CUST00008,2026-05-23 21:16:00,product_view,WeChat,PRD0054,f6dd3404f32f3a,0.483
EVT0000056,CUST00008,2026-04-17 15:45:00,product_view,Douyin,PRD0045,6d54b78df5a597,0.345
EVT0000057,CUST00008,2026-04-15 20:16:00,page_view,WeChat,PRD0038,d4c0ab9d67ee44,0.464
EVT0000058,CUST00008,2026-06-26 19:33:00,product_view,Douyin,PRD0039,17b2bba6d51d01,0.986
EVT0000059,CUST00008,2026-05-23 09:52:00,coupon_click,Douyin,PRD0045,14aa2698ee0f1b,0.577
EVT0000060,CUST00008,2026-06-28 15:03:00,page_view,Douyin,PRD0049,4cbdf007f39e64,0.243
EVT0000061,CUST00008,2026-04-03 16:33:00,live_stream_view,MiniProgram,PRD0038,1f97acc94dddc4,0.435
EVT0000062,CUST00009,2026-01-29 18:20:00,page_view,POS,PRD0036,955c1bdc27c8f9,0.191
EVT0000063,CUST00009,2026-05-15 08:28:00,page_view,App,PRD0035,4c14d34f18b3b1,0.224
EVT0000064,CUST00009,2026-01-05 15:27:00,search,POS,PRD0019,0c0e14a5d691ad,0.816
EVT0000065,CUST00009,2026-03-16 21:52:00,live_stream_view,Douyin,PRD0033,d923b430eb41f7,0.332
EVT0000066,CUST00009,2026-05-28 13:23:00,search,MiniProgram,PRD0035,5fa40f50b57f9f,0.664
EVT0000067,CUST00009,2026-05-21 18:07:00,search,Tmall,PRD0021,0799ef37d96c3f,0.742
EVT0000068,CUST00009,2026-02-08 10:54:00,page_view,App,PRD0022,9fdbe325706946,0.365
EVT0000069,CUST00009,2026-02-16 17:21:00,add_to_cart,App,PRD0036,774556e870b2f1,0.805
EVT0000070,CUST00009,2026-06-04 09:11:00,page_view,App,PRD0019,59c6b03354908f,0.271
EVT0000071,CUST00010,2026-01-09 09:17:00,page_view,WeChat,PRD0018,da7dfee4adb4d3,0.488
EVT0000072,CUST00010,2026-02-20 15:56:00,add_to_cart,WeChat,PRD0012,b83b4125e94b19,0.118
EVT0000073,CUST00010,2026-01-31 20:37:00,add_to_cart,MiniProgram,PRD0014,93c6c8c4328ad6,0.514
EVT0000074,CUST00010,2026-06-11 09:59:00,wishlist_add,App,PRD0007,1f086c8283fed5,0.934
EVT0000075,CUST00010,2026-03-08 21:51:00,page_view,WeChat,PRD0015,b3d65f870a88c7,0.262
EVT0000076,CUST00010,2026-05-19 21:00:00,wishlist_add,MiniProgram,PRD0015,3419192b7f48a1,0.445
EVT0000077,CUST00010,2026-05-05 16:39:00,page_view,Douyin,PRD0005,82e91672976426,0.137
EVT0000078,CUST00011,2026-04-11 13:35:00,add_to_cart,MiniProgram,PRD0008,31bdb9b221f643,0.673
EVT0000079,CUST00011,2026-06-21 09:59:00,page_view,App,PRD0003,1338cdd3b73af9,0.553
EVT0000080,CUST00011,2026-03-25 14:21:00,store_visit,App,PRD0005,d17989d3957964,0.115
EVT0000081,CUST00011,2026-04-16 21:26:00,live_stream_view,MiniProgram,PRD0006,85910c17f2e4b2,0.978
EVT0000082,CUST00011,2026-01-07 13:15:00,product_view,POS,PRD0003,45be08b22b97d0,0.3
EVT0000083,CUST00011,2026-05-09 11:08:00,page_view,App,PRD0002,08bdd3ed921a4f,0.682
EVT0000084,CUST00011,2026-07-01 12:08:00,coupon_click,MiniProgram,PRD0014,ca107515cce01f,0.794
EVT0000085,CUST00011,2026-06-30 10:51:00,add_to_cart,WeChat,PRD0005,41a82deb47850b,0.186
EVT0000086,CUST00011,2026-05-15 19:26:00,product_view,Douyin,PRD0010,a21c6503dcd2b1,0.802
EVT0000087,CUST00011,2026-01-19 19:03:00,store_visit,MiniProgram,PRD0009,f8332abb676aab,0.672
EVT0000088,CUST00011,2026-06-04 16:27:00,product_view,App,PRD0015,e42c0713e77565,0.215
EVT0000089,CUST00011,2026-04-11 09:27:00,page_view,WeChat,PRD0009,16791217ba41ac,0.86
EVT0000090,CUST00011,2026-01-10 08:21:00,search,Douyin,PRD0009,ffabc9a46a6a71,0.696
EVT0000091,CUST00012,2026-04-25 18:45:00,add_to_cart,Tmall,PRD0030,bc8bcb1f21e3c6,0.59
EVT0000092,CUST00012,2026-01-21 11:39:00,add_to_cart,Douyin,PRD0034,a5d00c8beff1a4,0.865
EVT0000093,CUST00012,2026-06-08 19:03:00,product_view,Tmall,PRD0024,ddb8c8936e37e2,0.824
EVT0000094,CUST00012,2026-02-08 16:45:00,wishlist_add,MiniProgram,PRD0031,6b6e6c07e74dcd,0.485
EVT0000095,CUST00012,2026-05-13 21:45:00,page_view,Douyin,PRD0030,092b100efb1581,0.504
EVT0000096,CUST00012,2026-04-25 21:36:00,page_view,WeChat,PRD0031,96b9ac7902ec71,0.468
EVT0000097,CUST00013,2026-03-04 21:07:00,product_view,Douyin,PRD0007,e745c7c1ed33d2,0.249
EVT0000098,CUST00013,2026-01-29 13:25:00,wishlist_add,Douyin,PRD0009,203ca389358745,0.76
EVT0000099,CUST00013,2026-02-19 11:22:00,store_visit,WeChat,PRD0010,329aeca0eae2de,0.971
EVT0000100,CUST00013,2026-05-22 10:34:00,page_view,WeChat,PRD0005,e1913354de03ec,0.209
EVT0000101,CUST00013,2026-02-15 12:54:00,page_view,App,PRD0003,4176bb904c63c5,0.427
EVT0000102,CUST00013,2026-05-05 19:43:00,page_view,Douyin,PRD0006,a554296afac8fc,0.767
EVT0000103,CUST00013,2026-05-20 15:05:00,wishlist_add,POS,PRD0002,520eaca12fbfe4,0.443
EVT0000104,CUST00013,2026-05-07 15:10:00,page_view,App,PRD0015,210557569bf9c8,0.288
EVT0000105,CUST00014,2026-05-13 21:11:00,add_to_cart,MiniProgram,PRD0053,10a0cf984eb64e,0.845
EVT0000106,CUST00014,2026-04-04 15:01:00,product_view,Tmall,PRD0049,0935320e9b4647,0.101
EVT0000107,CUST00014,2026-06-12 10:15:00,search,POS,PRD0043,d6de516228577c,0.753
EVT0000108,CUST00014,2026-03-12 10:38:00,page_view,Douyin,PRD0039,b88ca4bdb99710,0.702
EVT0000109,CUST00014,2026-04-12 09:08:00,add_to_cart,POS,PRD0041,08bc63afebf61f,0.806
EVT0000110,CUST00014,2026-02-15 17:41:00,add_to_cart,MiniProgram,PRD0050,55cb872e0a2465,0.347
EVT0000111,CUST00014,2026-05-07 16:19:00,product_view,MiniProgram,PRD0051,0e7c5cfad08622,0.552
EVT0000112,CUST00014,2026-03-12 08:44:00,product_view,App,PRD0051,1513a48cdae4d6,0.214
EVT0000113,CUST00014,2026-01-02 13:22:00,search,WeChat,PRD0045,039dc112a3b32b,0.767
EVT0000114,CUST00014,2026-02-05 08:17:00,wishlist_add,App,PRD0050,cb2bbb13ef777d,0.885
EVT0000115,CUST00014,2026-01-31 13:50:00,product_view,MiniProgram,PRD0037,bc72177f3402a5,0.341
EVT0000116,CUST00014,2026-04-06 21:44:00,search,Douyin,PRD0037,22a49d8dd99eaf,0.323
EVT0000117,CUST00015,2026-03-20 22:52:00,wishlist_add,Tmall,PRD0056,cb36c1fd82cbbb,0.992
EVT0000118,CUST00015,2026-04-30 18:26:00,live_stream_view,MiniProgram,PRD0055,e4c34d010fdc92,0.508
EVT0000119,CUST00015,2026-06-22 13:21:00,coupon_click,Tmall,PRD0070,1f03865e224d3d,0.289
EVT0000120,CUST00015,2026-01-30 19:55:00,store_visit,MiniProgram,PRD0070,7029542f147d92,0.243
EVT0000121,CUST00015,2026-06-30 08:36:00,coupon_click,MiniProgram,PRD0066,0a61fb1bf2982b,0.128
EVT0000122,CUST00015,2026-01-02 12:42:00,add_to_cart,WeChat,PRD0072,424a1226b70cae,0.463
EVT0000123,CUST00015,2026-06-08 20:32:00,wishlist_add,WeChat,PRD0056,b06499d2316596,0.474
EVT0000124,CUST00015,2026-02-15 15:55:00,product_view,Tmall,PRD0059,5cb7506f716d9a,0.22
EVT0000125,CUST00015,2026-04-03 15:38:00,wishlist_add,Douyin,PRD0072,c6d0d6bbeca28a,0.218
EVT0000126,CUST00016,2026-01-15 22:50:00,add_to_cart,Tmall,PRD0054,0947f000e29c81,0.665
EVT0000127,CUST00016,2026-06-13 17:13:00,product_view,Tmall,PRD0048,0eb3290116982e,0.515
EVT0000128,CUST00016,2026-04-25 15:38:00,wishlist_add,Douyin,PRD0037,f0f086c9a93380,0.376
EVT0000129,CUST00016,2026-05-15 13:49:00,search,MiniProgram,PRD0037,63c870b9428ab0,0.397
EVT0000130,CUST00016,2026-01-08 10:28:00,coupon_click,Douyin,PRD0040,9cfe2b01725893,0.716
EVT0000131,CUST00016,2026-03-12 08:38:00,product_view,MiniProgram,PRD0039,685147d4002f05,0.74
EVT0000132,CUST00016,2026-05-06 20:48:00,product_view,Douyin,PRD0054,4b44e6a3d6a009,0.972
EVT0000133,CUST00016,2026-03-01 13:27:00,coupon_click,Tmall,PRD0042,b0b08d94c908b4,0.729
EVT0000134,CUST00017,2026-03-14 08:03:00,product_view,App,PRD0039,7b008f50f85fa6,0.625
EVT0000135,CUST00017,2026-01-02 14:14:00,add_to_cart,WeChat,PRD0039,fa087740c70db9,0.783
EVT0000136,CUST00017,2026-03-11 08:36:00,product_view,MiniProgram,PRD0047,f26c2cc959b02f,0.713
EVT0000137,CUST00017,2026-04-09 19:56:00,product_view,Douyin,PRD0037,3edbfc7c26625c,0.216
EVT0000138,CUST00017,2026-03-21 12:52:00,wishlist_add,Douyin,PRD0042,1c40976b15c601,0.853
EVT0000139,CUST00017,2026-02-24 13:34:00,add_to_cart,POS,PRD0041,1e470a375cb6e7,0.753
EVT0000140,CUST00017,2026-04-03 08:34:00,live_stream_view,Douyin,PRD0043,f4da6b0c981386,0.95
EVT0000141,CUST00017,2026-02-07 11:57:00,product_view,Douyin,PRD0042,00c4481868534e,0.919
EVT0000142,CUST00017,2026-03-20 16:13:00,product_view,MiniProgram,PRD0049,7a421f91096e41,0.469
EVT0000143,CUST00018,2025-12-31 12:44:00,page_view,WeChat,PRD0051,593f49ea3863a8,0.184
EVT0000144,CUST00018,2025-07-07 19:22:00,add_to_cart,Tmall,PRD0054,b2883e69be3b2c,0.291
EVT0000145,CUST00018,2025-08-21 16:12:00,coupon_click,Tmall,PRD0042,8f30b580ed5636,0.236
EVT0000146,CUST00019,2026-01-19 20:17:00,page_view,WeChat,PRD0070,224cc849fa429d,0.89
EVT0000147,CUST00019,2026-03-12 12:11:00,store_visit,App,PRD0063,f7552cf39bfb2f,0.284
EVT0000148,CUST00019,2026-04-27 21:39:00,search,MiniProgram,PRD0066,3e51c9d1e09825,0.692
EVT0000149,CUST00019,2026-06-01 12:01:00,page_view,App,PRD0070,035f69940961c7,0.159
EVT0000150,CUST00019,2026-01-10 13:53:00,store_visit,Tmall,PRD0059,1c0db9f5e2c513,0.783
EVT0000151,CUST00019,2026-04-14 16:39:00,product_view,MiniProgram,PRD0059,3010cb40f6fce8,0.636
EVT0000152,CUST00019,2026-03-07 20:22:00,add_to_cart,Douyin,PRD0070,0d111f47ff0d64,0.455
EVT0000153,CUST00019,2026-05-30 09:15:00,search,WeChat,PRD0068,2e92a68b26ec76,0.721
EVT0000154,CUST00019,2026-06-05 12:57:00,add_to_cart,Tmall,PRD0062,87d5b8060718e5,0.159
EVT0000155,CUST00019,2026-01-06 10:49:00,search,App,PRD0072,eed5bf3a89d8d8,0.122
EVT0000156,CUST00019,2026-04-01 20:15:00,page_view,App,PRD0071,f037825dabe854,0.121
EVT0000157,CUST00020,2026-05-17 10:59:00,product_view,Tmall,PRD0023,372761b648ee52,0.564
EVT0000158,CUST00020,2026-04-23 17:49:00,product_view,App,PRD0027,8ca0e292a8fb19,0.529
EVT0000159,CUST00020,2026-04-24 16:41:00,add_to_cart,App,PRD0028,fac3e5716f9607,0.467
EVT0000160,CUST00020,2026-01-29 14:28:00,page_view,Tmall,PRD0034,321b1a712a5bbf,0.728
EVT0000161,CUST00020,2026-03-28 11:33:00,page_view,Douyin,PRD0020,6c8cc6a35b50c3,0.135
EVT0000162,CUST00020,2026-06-22 09:02:00,page_view,WeChat,PRD0027,45247a6cd58439,0.614
EVT0000163,CUST00021,2026-03-22 17:47:00,add_to_cart,POS,PRD0025,5a4380090c3cec,0.284
EVT0000164,CUST00021,2026-04-08 21:28:00,page_view,App,PRD0035,4be6484f73f46d,0.209
EVT0000165,CUST00021,2026-03-19 14:06:00,page_view,Tmall,PRD0030,83609809a03eec,0.132
EVT0000166,CUST00021,2026-02-14 08:17:00,add_to_cart,Douyin,PRD0019,5d9d2d3f26471f,0.201
EVT0000167,CUST00021,2026-05-05 09:50:00,wishlist_add,Douyin,PRD0030,4de72cdb0f1162,0.667
EVT0000168,CUST00021,2026-01-15 20:17:00,product_view,POS,PRD0030,b4cadc426f10f1,0.474
EVT0000169,CUST00021,2026-01-16 19:05:00,product_view,MiniProgram,PRD0030,6bbe3b407d7d49,0.823
EVT0000170,CUST00021,2026-03-17 20:11:00,search,Tmall,PRD0024,a602905e6c903e,0.912
EVT0000171,CUST00021,2026-03-10 08:31:00,search,POS,PRD0019,84430c09593567,0.906
EVT0000172,CUST00021,2026-03-26 10:21:00,product_view,MiniProgram,PRD0019,921912372985d0,0.82
EVT0000173,CUST00021,2026-02-16 08:31:00,search,POS,PRD0021,6251db603dd6c7,0.526
EVT0000174,CUST00022,2026-04-24 15:36:00,add_to_cart,App,PRD0036,73bdf365c647dc,0.614
EVT0000175,CUST00022,2026-03-15 17:43:00,product_view,MiniProgram,PRD0035,9b40bfe4603d1e,0.567
EVT0000176,CUST00022,2026-03-24 18:49:00,product_view,Tmall,PRD0020,d4e09cabe03dd4,0.164
EVT0000177,CUST00022,2026-06-08 09:59:00,search,Douyin,PRD0023,1b2a2ab419b345,0.745
EVT0000178,CUST00022,2026-05-30 09:04:00,product_view,Tmall,PRD0020,241986e1dee823,0.665
EVT0000179,CUST00022,2026-02-10 18:06:00,search,POS,PRD0035,b575596d87b688,0.477
EVT0000180,CUST00022,2026-03-06 13:24:00,product_view,POS,PRD0020,437e11115c3146,0.402
EVT0000181,CUST00022,2026-06-24 17:12:00,search,Tmall,PRD0032,6116e5a211c257,0.461
EVT0000182,CUST00022,2026-05-22 16:00:00,product_view,MiniProgram,PRD0024,278bc9d732dc5c,0.146
EVT0000183,CUST00023,2026-06-24 17:06:00,wishlist_add,WeChat,PRD0045,845ef693823d27,0.119
EVT0000184,CUST00023,2026-03-13 18:41:00,page_view,App,PRD0045,d0b07c6e174c30,0.439
EVT0000185,CUST00023,2026-02-25 08:18:00,live_stream_view,App,PRD0051,3c9cf5a6a5d33c,0.62
EVT0000186,CUST00023,2026-04-13 21:46:00,store_visit,Tmall,PRD0043,88b02fe6a7580d,0.556
EVT0000187,CUST00023,2026-06-07 20:38:00,product_view,MiniProgram,PRD0051,7b1afa5a93336d,0.697
EVT0000188,CUST00023,2026-05-19 11:34:00,product_view,App,PRD0042,e8325e2b801b82,0.685
EVT0000189,CUST00023,2026-06-23 22:35:00,add_to_cart,Douyin,PRD0048,6a4704d9a8d1d7,0.573
EVT0000190,CUST00023,2026-05-21 08:04:00,add_to_cart,MiniProgram,PRD0051,e216d2d5902dd8,0.143
EVT0000191,CUST00023,2026-01-04 13:20:00,live_stream_view,Douyin,PRD0047,c0304137f89f24,0.838
EVT0000192,CUST00023,2026-05-11 19:10:00,product_view,App,PRD0047,10170798cc4015,0.254
EVT0000193,CUST00023,2026-07-01 18:07:00,product_view,MiniProgram,PRD0050,398438132bbb05,0.602
EVT0000194,CUST00023,2026-04-29 15:18:00,coupon_click,POS,PRD0050,547767400072ef,0.275
EVT0000195,CUST00023,2026-03-20 19:45:00,product_view,POS,PRD0052,c42384a5edaf75,0.347
EVT0000196,CUST00024,2026-04-03 22:06:00,live_stream_view,WeChat,PRD0018,a36cfccf1b1274,0.652
EVT0000197,CUST00024,2026-01-11 20:13:00,coupon_click,Tmall,PRD0065,39c8a2fe837539,0.687
EVT0000198,CUST00024,2026-02-19 21:37:00,page_view,MiniProgram,PRD0061,607097f401bd0c,0.694
EVT0000199,CUST00024,2026-01-20 08:27:00,page_view,POS,PRD0015,b7a53ae74e1b92,0.549
EVT0000200,CUST00024,2026-01-20 12:55:00,product_view,Tmall,PRD0019,dae652250764a2,0.79
EVT0000201,CUST00024,2026-04-24 13:52:00,page_view,Douyin,PRD0066,f2371755e64983,0.283
EVT0000202,CUST00024,2026-06-10 19:44:00,page_view,MiniProgram,PRD0043,34d6727064de4f,0.238
EVT0000203,CUST00024,2026-05-09 19:06:00,coupon_click,MiniProgram,PRD0015,d6225481ced34e,0.469
EVT0000204,CUST00024,2026-03-18 15:49:00,add_to_cart,Tmall,PRD0009,0588a99a4b0272,0.454
EVT0000205,CUST00024,2026-05-25 17:29:00,live_stream_view,POS,PRD0071,f4a7cc6793be0f,0.638
EVT0000206,CUST00024,2026-06-21 17:33:00,add_to_cart,App,PRD0021,8a16c46bb9ba53,0.512
EVT0000207,CUST00024,2026-06-26 21:09:00,page_view,Tmall,PRD0021,6d892123813d31,0.776
EVT0000208,CUST00024,2026-06-23 21:55:00,live_stream_view,POS,PRD0011,7c3c0d73231a57,0.798
EVT0000209,CUST00025,2026-06-03 20:01:00,wishlist_add,Douyin,PRD0049,a6033f3957aaac,0.492
EVT0000210,CUST00025,2026-02-08 19:49:00,product_view,POS,PRD0050,cc12f1bc9e192a,0.173
EVT0000211,CUST00025,2026-06-06 14:00:00,product_view,POS,PRD0048,3a8450fe2ba10b,0.831
EVT0000212,CUST00025,2026-03-23 08:24:00,add_to_cart,Douyin,PRD0047,55221af49691c1,0.995
EVT0000213,CUST00025,2026-04-07 13:49:00,product_view,POS,PRD0045,618db141677d22,0.109
EVT0000214,CUST00026,2026-03-15 21:34:00,product_view,MiniProgram,PRD0033,be7ad15bd32610,0.987
EVT0000215,CUST00026,2026-04-04 22:10:00,store_visit,POS,PRD0020,13c1ddc9fc94fa,0.954
EVT0000216,CUST00026,2026-05-27 09:15:00,store_visit,Tmall,PRD0032,95d8332c3cda22,0.991
EVT0000217,CUST00026,2026-02-26 13:03:00,search,WeChat,PRD0036,83ead5571e4dbd,0.745
EVT0000218,CUST00026,2026-03-24 21:57:00,live_stream_view,MiniProgram,PRD0036,2ce88524c78179,0.205
EVT0000219,CUST00026,2026-06-13 19:48:00,page_view,Douyin,PRD0023,6d66c14e4f6459,0.897
EVT0000220,CUST00026,2026-06-22 15:19:00,product_view,WeChat,PRD0027,5b1d09b3636498,0.338
EVT0000221,CUST00027,2025-08-19 21:47:00,product_view,Tmall,PRD0010,93af90a02bfe3d,0.934
EVT0000222,CUST00027,2025-07-12 08:50:00,live_stream_view,App,PRD0015,45537ea3533303,0.319
EVT0000223,CUST00027,2026-04-21 11:41:00,product_view,POS,PRD0004,0210fdd5c12237,0.455
EVT0000224,CUST00027,2026-06-30 12:18:00,wishlist_add,POS,PRD0005,c4b2de65999eb7,0.788
EVT0000225,CUST00028,2026-03-11 22:20:00,live_stream_view,WeChat,PRD0021,d9f5e7a6e4cbfa,0.485
EVT0000226,CUST00028,2026-06-15 17:20:00,store_visit,MiniProgram,PRD0034,9e32744b01c57b,0.636
EVT0000227,CUST00028,2026-02-23 16:34:00,product_view,Douyin,PRD0021,4905d427419557,0.367
EVT0000228,CUST00028,2026-04-08 17:02:00,page_view,App,PRD0032,e3714abfc5f65f,0.791
EVT0000229,CUST00029,2026-05-20 10:55:00,product_view,WeChat,PRD0029,1e2c6c97c69f0b,0.13
EVT0000230,CUST00029,2026-06-12 14:32:00,live_stream_view,Douyin,PRD0022,14047066fedc2a,0.464
EVT0000231,CUST00030,2026-04-25 14:36:00,live_stream_view,Tmall,PRD0072,0fd4348eda0ee9,0.285
EVT0000232,CUST00030,2026-03-09 15:11:00,product_view,POS,PRD0065,3a262452e19680,0.372
EVT0000233,CUST00030,2026-05-23 09:52:00,product_view,App,PRD0062,338c8b8069b338,0.712
EVT0000234,CUST00030,2026-03-03 13:00:00,live_stream_view,Tmall,PRD0070,ba185b7cf0b833,0.245
EVT0000235,CUST00031,2026-01-31 16:37:00,product_view,Douyin,PRD0067,ac43346b1ac111,0.701
EVT0000236,CUST00031,2026-02-18 13:29:00,store_visit,WeChat,PRD0060,fe04e7e5e7c360,0.151
EVT0000237,CUST00031,2026-06-11 20:51:00,product_view,WeChat,PRD0072,289d10f35aac18,0.897
EVT0000238,CUST00031,2026-04-22 13:42:00,coupon_click,App,PRD0056,f32da103b35fc7,0.727
EVT0000239,CUST00031,2026-04-22 22:35:00,search,Tmall,PRD0062,62a3e647ea661d,0.889
EVT0000240,CUST00031,2026-05-16 08:18:00,product_view,WeChat,PRD0070,d06638020b9755,0.283
EVT0000241,CUST00031,2026-04-28 19:03:00,page_view,WeChat,PRD0056,c9ad9fd5889d1a,0.254
EVT0000242,CUST00031,2026-06-02 16:05:00,live_stream_view,MiniProgram,PRD0060,67204ed14f5ca7,0.181
EVT0000243,CUST00031,2026-06-16 08:15:00,add_to_cart,App,PRD0061,086802aa793d80,0.827
EVT0000244,CUST00031,2026-02-02 13:07:00,page_view,App,PRD0058,0092eba96e53c6,0.604
EVT0000245,CUST00032,2026-04-06 19:54:00,store_visit,WeChat,PRD0045,2392c1e6a66280,0.649
EVT0000246,CUST00032,2026-01-22 11:12:00,product_view,App,PRD0052,08c6526e742fbc,0.117
EVT0000247,CUST00032,2026-03-22 10:07:00,product_view,WeChat,PRD0050,18b3ac6877f536,0.983
EVT0000248,CUST00032,2026-06-15 20:10:00,product_view,POS,PRD0043,69eb157b6db837,0.466
EVT0000249,CUST00032,2026-06-10 18:44:00,product_view,POS,PRD0039,507a7175854916,0.448
