customer_id,loyalty_id,tier,points_balance,points_expiring_90d,anniversary_month,next_tier_gap_amount
CUST00092,LOY000092,Gold,17536,5246,8,3999.0
CUST00093,LOY000093,Silver,1844,4639,10,0.0
CUST00094,LOY000094,Diamond,63011,4012,3,8999.0
CUST00095,LOY000095,Gold,22513,3238,11,3999.0
CUST00096,LOY000096,Diamond,29752,4486,7,0.0
CUST00097,LOY000097,Silver,29662,8403,12,0.0
CUST00098,LOY000098,Silver,47148,532,11,8999.0
CUST00099,LOY000099,Silver,6090,7932,11,3999.0
CUST00100,LOY000100,Platinum,60367,993,12,8999.0
CUST00101,LOY000101,Platinum,10024,127,5,899.0
CUST00102,LOY000102,Diamond,6959,6900,2,3999.0
CUST00103,LOY000103,Silver,10025,2715,11,3999.0
CUST00104,LOY000104,Silver,55119,5931,5,399.0
CUST00105,LOY000105,Platinum,45910,2215,2,3999.0
CUST00106,LOY000106,Gold,5773,8313,3,1999.0
CUST00107,LOY000107,Gold,47334,6815,11,399.0
CUST00108,LOY000108,Diamond,33232,580,1,3999.0
CUST00109,LOY000109,Silver,61490,5870,3,0.0
CUST00110,LOY000110,Silver,23077,5568,11,8999.0
CUST00111,LOY000111,Platinum,50509,7958,12,899.0
CUST00112,LOY000112,Platinum,67207,7703,10,899.0
CUST00113,LOY000113,Gold,23127,3324,11,3999.0
CUST00114,LOY000114,Gold,62530,3136,2,0.0
CUST00115,LOY000115,Silver,6121,1054,6,899.0
CUST00116,LOY000116,Diamond,58341,1640,4,0.0
CUST00117,LOY000117,Platinum,48045,8325,9,0.0
CUST00118,LOY000118,Platinum,24801,8032,11,899.0
CUST00119,LOY000119,Platinum,42394,7455,1,1999.0
CUST00120,LOY000120,Diamond,46230,8628,1,1999.0
CUST00121,LOY000121,Diamond,44801,2249,4,3999.0
CUST00122,LOY000122,Platinum,5642,4325,11,1999.0
CUST00123,LOY000123,Diamond,20030,1083,10,899.0
CUST00124,LOY000124,Gold,7121,1857,7,0.0
CUST00125,LOY000125,Platinum,6805,1596,1,1999.0
CUST00126,LOY000126,Silver,45738,6053,11,899.0
CUST00127,LOY000127,Diamond,30669,1056,7,899.0
CUST00128,LOY000128,Gold,23979,2957,11,8999.0
CUST00129,LOY000129,Gold,31847,5120,9,1999.0
CUST00130,LOY000130,Gold,15840,7095,8,3999.0
CUST00131,LOY000131,Diamond,65498,5867,6,1999.0
CUST00132,LOY000132,Gold,12099,680,2,0.0
CUST00133,LOY000133,Gold,66274,6076,9,899.0
CUST00134,LOY000134,Platinum,41431,4810,11,1999.0
CUST00135,LOY000135,Diamond,44927,240,2,899.0
CUST00136,LOY000136,Diamond,7038,4627,12,3999.0
CUST00137,LOY000137,Diamond,31319,186,8,1999.0
CUST00138,LOY000138,Platinum,15611,1997,6,0.0
CUST00139,LOY000139,Diamond,63154,5293,7,1999.0
CUST00140,LOY000140,Diamond,11792,509,5,399.0
CUST00141,LOY000141,Platinum,11963,1089,9,899.0
CUST00142,LOY000142,Platinum,58900,458,7,899.0
CUST00143,LOY000143,Silver,33907,957,2,1999.0
CUST00144,LOY000144,Silver,40913,1316,4,3999.0
CUST00145,LOY000145,Diamond,8763,8679,2,1999.0
CUST00146,LOY000146,Gold,26583,3119,2,1999.0
CUST00147,LOY000147,Diamond,56536,3953,12,1999.0
CUST00148,LOY000148,Diamond,20568,6608,6,8999.0
CUST00149,LOY000149,Gold,60622,4436,5,8999.0
CUST00150,LOY000150,Gold,52285,3861,6,0.0
CUST00151,LOY000151,Gold,45162,3769,11,899.0
CUST00152,LOY000152,Gold,20350,5835,9,899.0
CUST00153,LOY000153,Gold,63681,2828,1,3999.0
CUST00154,LOY000154,Diamond,39424,3423,10,8999.0
CUST00155,LOY000155,Silver,67323,5142,4,1999.0
CUST00156,LOY000156,Silver,48648,4676,8,1999.0
CUST00157,LOY000157,Gold,18760,1958,3,1999.0
CUST00158,LOY000158,Silver,10469,2552,11,8999.0
CUST00159,LOY000159,Silver,5746,7134,6,399.0
CUST00160,LOY000160,Platinum,37931,1682,5,8999.0
CUST00161,LOY000161,Silver,11821,5910,6,1999.0
CUST00162,LOY000162,Diamond,33383,5551,6,1999.0
CUST00163,LOY000163,Diamond,61626,4544,2,399.0
CUST00164,LOY000164,Silver,54267,2343,11,0.0
CUST00165,LOY000165,Gold,13449,1056,12,899.0
CUST00166,LOY000166,Gold,48258,945,1,0.0
CUST00167,LOY000167,Gold,13531,6845,7,1999.0
CUST00168,LOY000168,Platinum,46598,7871,7,0.0
CUST00169,LOY000169,Platinum,4919,693,2,8999.0
CUST00170,LOY000170,Gold,60162,6496,9,899.0
CUST00171,LOY000171,Silver,35525,4208,12,899.0
CUST00172,LOY000172,Silver,56425,4554,4,399.0
CUST00173,LOY000173,Gold,67405,1176,12,3999.0
CUST00174,LOY000174,Platinum,58507,5042,7,3999.0
CUST00175,LOY000175,Platinum,11346,7872,7,0.0
CUST00176,LOY000176,Gold,34705,2387,2,399.0
CUST00177,LOY000177,Platinum,31311,6193,4,8999.0
CUST00178,LOY000178,Gold,44474,4945,10,1999.0
CUST00179,LOY000179,Silver,57274,6772,5,8999.0
CUST00180,LOY000180,Silver,11199,691,10,899.0
CUST00181,LOY000181,Silver,34235,7378,1,899.0
CUST00182,LOY000182,Diamond,32014,1881,5,1999.0
CUST00183,LOY000183,Silver,3551,7335,9,0.0
CUST00184,LOY000184,Diamond,17662,5831,3,0.0
CUST00185,LOY000185,Silver,14480,5237,7,8999.0
CUST00186,LOY000186,Diamond,3356,7987,4,899.0
CUST00187,LOY000187,Silver,28421,4559,9,399.0
CUST00188,LOY000188,Diamond,10663,4350,6,899.0
CUST00189,LOY000189,Diamond,35032,8185,5,399.0
CUST00190,LOY000190,Silver,30901,1631,1,3999.0
CUST00191,LOY000191,Diamond,14695,212,4,399.0
CUST00192,LOY000192,Platinum,2735,4852,1,0.0
CUST00193,LOY000193,Silver,64933,4571,1,1999.0
CUST00194,LOY000194,Gold,44873,2075,4,8999.0
CUST00195,LOY000195,Gold,5965,8172,4,899.0
CUST00196,LOY000196,Gold,65547,7147,9,8999.0
CUST00197,LOY000197,Diamond,12556,5241,6,0.0
CUST00198,LOY000198,Silver,51578,1747,3,899.0
CUST00199,LOY000199,Gold,28406,1019,3,1999.0
CUST00200,LOY000200,Gold,11732,1107,2,0.0
CUST00201,LOY000201,Gold,52605,3800,10,1999.0
CUST00202,LOY000202,Silver,34341,7548,12,8999.0
CUST00203,LOY000203,Diamond,49815,2657,10,1999.0
CUST00204,LOY000204,Silver,6677,4156,6,3999.0
CUST00205,LOY000205,Silver,4197,1738,3,899.0
CUST00206,LOY000206,Gold,26719,5972,10,3999.0
CUST00207,LOY000207,Platinum,10092,596,5,399.0
CUST00208,LOY000208,Platinum,30068,4741,12,899.0
CUST00209,LOY000209,Diamond,7433,4785,3,8999.0
CUST00210,LOY000210,Gold,51169,829,5,0.0
CUST00211,LOY000211,Platinum,65666,7115,11,0.0
CUST00212,LOY000212,Silver,44831,5990,5,8999.0
CUST00213,LOY000213,Silver,38593,4287,6,8999.0
CUST00214,LOY000214,Platinum,52551,7062,12,1999.0
CUST00215,LOY000215,Diamond,18964,3021,10,399.0
CUST00216,LOY000216,Platinum,50615,3339,1,3999.0
CUST00217,LOY000217,Platinum,47625,286,6,399.0
CUST00218,LOY000218,Silver,47749,197,12,1999.0
CUST00219,LOY000219,Diamond,58147,7512,2,8999.0
CUST00220,LOY000220,Diamond,17722,409,10,0.0
CUST00221,LOY000221,Platinum,5172,5484,10,399.0
CUST00222,LOY000222,Silver,67246,7306,6,899.0
CUST00223,LOY000223,Platinum,48084,4979,6,8999.0
CUST00224,LOY000224,Gold,51886,3753,6,0.0
CUST00225,LOY000225,Diamond,14431,2875,12,1999.0
CUST00226,LOY000226,Diamond,55013,8154,10,1999.0
CUST00227,LOY000227,Diamond,35903,8275,12,399.0
CUST00228,LOY000228,Diamond,24766,6251,3,3999.0
CUST00229,LOY000229,Platinum,33066,1188,10,3999.0
CUST00230,LOY000230,Gold,18956,7516,3,899.0
CUST00231,LOY000231,Silver,67834,2080,3,399.0
CUST00232,LOY000232,Gold,20786,4502,9,399.0
CUST00233,LOY000233,Silver,51929,7862,9,8999.0
CUST00234,LOY000234,Silver,13530,4323,7,1999.0
CUST00235,LOY000235,Gold,20743,4764,11,399.0
CUST00236,LOY000236,Platinum,28797,833,2,0.0
CUST00237,LOY000237,Silver,9251,3212,8,899.0
CUST00238,LOY000238,Silver,34524,5287,4,899.0
CUST00239,LOY000239,Diamond,59381,7064,9,0.0
CUST00240,LOY000240,Diamond,62573,8834,5,0.0
CUST00241,LOY000241,Diamond,55676,1447,1,0.0
CUST00242,LOY000242,Diamond,4136,7440,10,1999.0
CUST00243,LOY000243,Platinum,52964,1767,7,1999.0
CUST00244,LOY000244,Gold,1123,800,12,1999.0
CUST00245,LOY000245,Platinum,53669,1213,2,899.0
CUST00246,LOY000246,Gold,34542,3250,4,399.0
CUST00247,LOY000247,Gold,64264,5575,3,0.0
CUST00248,LOY000248,Silver,10595,950,1,3999.0
CUST00249,LOY000249,Silver,30389,6477,5,899.0
CUST00250,LOY000250,Platinum,33314,8114,10,899.0
CUST00251,LOY000251,Diamond,15585,6909,4,399.0
CUST00252,LOY000252,Platinum,48909,1407,6,0.0
CUST00253,LOY000253,Diamond,3963,1547,4,399.0
CUST00254,LOY000254,Gold,23821,3133,3,399.0
CUST00255,LOY000255,Gold,13260,1437,5,0.0
CUST00256,LOY000256,Silver,33021,8967,2,3999.0
CUST00257,LOY000257,Diamond,55383,8878,12,399.0
CUST00258,LOY000258,Gold,21303,1230,10,0.0
CUST00259,LOY000259,Silver,31715,7965,12,1999.0
CUST00260,LOY000260,Gold,914,2379,1,3999.0
CUST00261,LOY000261,Gold,15445,7031,12,0.0
CUST00262,LOY000262,Diamond,55955,3724,8,0.0
CUST00263,LOY000263,Silver,22249,6285,4,399.0
CUST00264,LOY000264,Diamond,55037,2799,11,3999.0
CUST00265,LOY000265,Silver,49264,7464,3,1999.0
CUST00266,LOY000266,Platinum,54874,4799,6,899.0
CUST00267,LOY000267,Diamond,9519,6422,9,399.0
CUST00268,LOY000268,Platinum,43710,2052,2,0.0
CUST00269,LOY000269,Silver,41786,4361,5,0.0
CUST00270,LOY000270,Platinum,59231,3343,1,8999.0
CUST00271,LOY000271,Gold,57288,3774,7,0.0
CUST00272,LOY000272,Gold,25407,7510,11,399.0
CUST00273,LOY000273,Gold,23288,5428,2,0.0
CUST00274,LOY000274,Diamond,24432,1839,1,8999.0
CUST00275,LOY000275,Platinum,41717,5887,3,399.0
CUST00276,LOY000276,Silver,24424,2400,6,0.0
CUST00277,LOY000277,Gold,15570,727,11,3999.0
CUST00278,LOY000278,Silver,15212,8102,4,0.0
CUST00279,LOY000279,Silver,51861,6627,6,399.0
CUST00280,LOY000280,Gold,54996,1384,5,0.0
CUST00281,LOY000281,Platinum,55439,5510,6,399.0
CUST00282,LOY000282,Silver,39547,3142,10,399.0
CUST00283,LOY000283,Diamond,62343,8394,6,1999.0
CUST00284,LOY000284,Platinum,61891,4973,1,8999.0
CUST00285,LOY000285,Diamond,38837,7649,4,1999.0
CUST00286,LOY000286,Gold,36452,6475,8,1999.0
CUST00287,LOY000287,Silver,43841,6525,1,3999.0
CUST00288,LOY000288,Silver,10596,5063,3,8999.0
CUST00289,LOY000289,Gold,1855,7834,9,3999.0
CUST00290,LOY000290,Silver,33323,7987,2,899.0
CUST00291,LOY000291,Platinum,12526,7151,2,3999.0
CUST00292,LOY000292,Diamond,54584,1056,6,3999.0
CUST00293,LOY000293,Gold,2448,3643,12,899.0
CUST00294,LOY000294,Diamond,5855,4983,8,3999.0
CUST00295,LOY000295,Gold,17678,1095,2,899.0
CUST00296,LOY000296,Diamond,21118,8529,4,0.0
CUST00297,LOY000297,Gold,63205,989,8,1999.0
CUST00298,LOY000298,Platinum,61320,7675,12,899.0
CUST00299,LOY000299,Platinum,60238,5280,3,399.0
CUST00300,LOY000300,Diamond,9082,5280,5,3999.0
CUST00301,LOY000301,Silver,66668,5020,5,3999.0
CUST00302,LOY000302,Silver,48078,8413,6,8999.0
CUST00303,LOY000303,Gold,25338,7427,8,899.0
CUST00304,LOY000304,Platinum,19923,3646,1,899.0
CUST00305,LOY000305,Gold,421,3029,10,0.0
CUST00306,LOY000306,Gold,9083,8259,6,0.0
CUST00307,LOY000307,Silver,63821,3960,10,899.0
CUST00308,LOY000308,Silver,26825,4409,7,899.0
CUST00309,LOY000309,Platinum,35577,8402,1,0.0
CUST00310,LOY000310,Gold,61712,5788,3,3999.0
CUST00311,LOY000311,Gold,16029,5297,6,3999.0
CUST00312,LOY000312,Gold,45777,8055,9,399.0
CUST00313,LOY000313,Platinum,7794,3838,1,899.0
CUST00314,LOY000314,Silver,10454,7964,12,899.0
CUST00315,LOY000315,Silver,13626,5672,10,3999.0
CUST00316,LOY000316,Platinum,34284,7765,10,0.0
CUST00317,LOY000317,Diamond,32442,7486,2,0.0
CUST00318,LOY000318,Diamond,11158,7911,4,1999.0
CUST00319,LOY000319,Silver,26539,8556,11,1999.0
CUST00320,LOY000320,Gold,57376,3943,6,3999.0
CUST00321,LOY000321,Platinum,26583,8028,7,3999.0
CUST00322,LOY000322,Gold,31241,4765,12,1999.0
CUST00323,LOY000323,Gold,22035,4808,7,3999.0
CUST00324,LOY000324,Platinum,47030,603,10,3999.0
CUST00325,LOY000325,Diamond,18001,6649,12,8999.0
CUST00326,LOY000326,Diamond,40840,7556,8,3999.0
CUST00327,LOY000327,Gold,33363,5602,9,899.0
CUST00328,LOY000328,Gold,45809,1596,3,399.0
CUST00329,LOY000329,Silver,48130,3479,2,899.0
CUST00330,LOY000330,Platinum,13433,7486,11,0.0
CUST00331,LOY000331,Gold,45674,1183,3,8999.0
CUST00332,LOY000332,Gold,42606,8908,1,1999.0
CUST00333,LOY000333,Gold,10165,1844,9,899.0
CUST00334,LOY000334,Silver,20958,7421,3,0.0
CUST00335,LOY000335,Silver,62996,7561,12,399.0
CUST00336,LOY000336,Gold,19540,7885,6,399.0
CUST00337,LOY000337,Platinum,57551,240,2,8999.0
CUST00338,LOY000338,Diamond,3888,7746,6,899.0
CUST00339,LOY000339,Silver,43195,2483,2,1999.0
CUST00340,LOY000340,Diamond,8333,8124,8,399.0
CUST00341,LOY000341,Diamond,12671,3188,5,899.0
CUST00342,LOY000342,Silver,14057,4503,9,8999.0
CUST00343,LOY000343,Silver,38281,1022,11,899.0
CUST00344,LOY000344,Diamond,10436,532,7,399.0
CUST00345,LOY000345,Gold,1660,5309,12,899.0
CUST00346,LOY000346,Silver,47658,7719,12,0.0
CUST00347,LOY000347,Diamond,61739,3097,5,8999.0
CUST00348,LOY000348,Diamond,24996,8191,4,899.0
CUST00349,LOY000349,Gold,64602,8483,5,899.0
CUST00350,LOY000350,Diamond,18789,5444,11,899.0
CUST00351,LOY000351,Silver,66794,4175,9,899.0
CUST00352,LOY000352,Silver,10726,510,10,1999.0
CUST00353,LOY000353,Platinum,63635,4001,10,399.0
CUST00354,LOY000354,Gold,17433,1165,8,1999.0
CUST00355,LOY000355,Platinum,20586,1549,6,399.0
CUST00356,LOY000356,Gold,36758,7535,1,3999.0
CUST00357,LOY000357,Silver,36309,7627,5,1999.0
CUST00358,LOY000358,Gold,40141,7050,2,8999.0
CUST00359,LOY000359,Diamond,47251,5111,8,8999.0
CUST00360,LOY000360,Silver,7129,2002,5,0.0
CUST00361,LOY000361,Diamond,66011,8129,6,8999.0
CUST00362,LOY000362,Gold,36964,7567,8,0.0
CUST00363,LOY000363,Silver,58816,5592,5,3999.0
CUST00364,LOY000364,Silver,56744,4798,2,1999.0
CUST00365,LOY000365,Platinum,42175,5038,11,1999.0
CUST00366,LOY000366,Gold,47178,4329,2,1999.0
CUST00367,LOY000367,Silver,53798,3937,10,3999.0
CUST00368,LOY000368,Gold,6580,2026,12,0.0
CUST00369,LOY000369,Gold,34599,5898,5,0.0
CUST00370,LOY000370,Silver,34500,6681,7,0.0
CUST00371,LOY000371,Silver,41947,3042,4,3999.0
CUST00372,LOY000372,Diamond,29506,4675,12,399.0
CUST00373,LOY000373,Silver,29826,5176,1,8999.0
CUST00374,LOY000374,Platinum,59683,4283,7,8999.0
CUST00375,LOY000375,Gold,65934,5910,7,1999.0
CUST00376,LOY000376,Gold,51366,7552,9,8999.0
CUST00377,LOY000377,Diamond,41141,7115,2,1999.0
CUST00378,LOY000378,Silver,64068,4324,11,8999.0
CUST00379,LOY000379,Silver,64395,8052,1,399.0
CUST00380,LOY000380,Platinum,34279,2816,10,3999.0
CUST00381,LOY000381,Platinum,58992,7311,5,399.0
CUST00382,LOY000382,Gold,1111,3550,7,3999.0
CUST00383,LOY000383,Platinum,61870,1998,10,1999.0
CUST00384,LOY000384,Platinum,30360,6650,10,8999.0
CUST00385,LOY000385,Platinum,18535,4687,8,399.0
CUST00386,LOY000386,Platinum,15813,7332,10,8999.0
CUST00387,LOY000387,Diamond,29677,8996,4,899.0
CUST00388,LOY000388,Gold,58480,1659,2,0.0
CUST00389,LOY000389,Diamond,9395,7638,8,3999.0
CUST00390,LOY000390,Silver,28715,7768,3,8999.0
CUST00391,LOY000391,Platinum,45686,1304,12,3999.0
CUST00392,LOY000392,Silver,46219,7138,10,8999.0
CUST00393,LOY000393,Platinum,1247,2830,2,1999.0
CUST00394,LOY000394,Gold,7910,6659,2,8999.0
CUST00395,LOY000395,Silver,52357,2086,1,1999.0
CUST00396,LOY000396,Diamond,7063,2833,9,399.0
CUST00397,LOY000397,Silver,19121,8428,12,8999.0
CUST00398,LOY000398,Diamond,58900,136,6,899.0
CUST00399,LOY000399,Gold,12978,7346,3,0.0
CUST00400,LOY000400,Silver,64643,4979,7,899.0
CUST00401,LOY000401,Silver,37251,5172,9,1999.0
CUST00402,LOY000402,Diamond,7797,3971,3,899.0
CUST00403,LOY000403,Gold,45011,5834,5,0.0
CUST00404,LOY000404,Gold,48184,8575,3,399.0
CUST00405,LOY000405,Platinum,58014,4078,5,899.0
CUST00406,LOY000406,Silver,17055,6106,4,1999.0
CUST00407,LOY000407,Diamond,61052,7029,7,899.0
CUST00408,LOY000408,Diamond,30968,5020,6,3999.0
CUST00409,LOY000409,Platinum,33596,1804,2,8999.0
CUST00410,LOY000410,Silver,55431,8750,6,3999.0
CUST00411,LOY000411,Diamond,53725,4696,2,8999.0
CUST00412,LOY000412,Platinum,35196,7866,7,0.0
CUST00413,LOY000413,Gold,62885,5536,8,0.0
CUST00414,LOY000414,Platinum,31823,8438,6,3999.0
CUST00415,LOY000415,Diamond,39442,7608,5,8999.0
CUST00416,LOY000416,Silver,7353,5523,11,399.0
CUST00417,LOY000417,Platinum,3588,3070,1,1999.0
CUST00418,LOY000418,Gold,34074,4516,1,1999.0
CUST00419,LOY000419,Gold,31914,7861,12,8999.0
CUST00420,LOY000420,Diamond,64993,785,11,399.0
