inventory_id,store_id,product_id,stock_on_hand,reserved_qty,available_qty,reorder_point,last_stocktake_date
INV0000046,ST001,PRD0046,48,0,48,9,2026-06-10
INV0000047,ST001,PRD0047,40,3,37,13,2026-06-17
INV0000048,ST001,PRD0048,35,8,27,16,2026-06-12
INV0000049,ST001,PRD0049,30,7,23,8,2026-06-15
INV0000050,ST001,PRD0050,52,1,51,9,2026-06-05
INV0000051,ST001,PRD0051,7,4,3,12,2026-06-26
INV0000052,ST001,PRD0052,42,4,38,8,2026-06-13
INV0000053,ST001,PRD0053,26,0,26,13,2026-06-05
INV0000054,ST001,PRD0054,83,6,77,16,2026-06-11
INV0000055,ST001,PRD0055,1,1,0,14,2026-06-07
INV0000056,ST001,PRD0056,67,5,62,13,2026-06-03
INV0000057,ST001,PRD0057,47,8,39,19,2026-06-23
INV0000058,ST001,PRD0058,55,0,55,17,2026-06-14
INV0000059,ST001,PRD0059,74,8,66,14,2026-06-30
INV0000060,ST001,PRD0060,67,5,62,22,2026-06-14
INV0000061,ST001,PRD0061,70,0,70,19,2026-06-27
INV0000062,ST001,PRD0062,42,5,37,16,2026-06-25
INV0000063,ST001,PRD0063,18,2,16,16,2026-06-29
INV0000064,ST001,PRD0064,42,4,38,15,2026-06-18
INV0000065,ST001,PRD0065,81,0,81,21,2026-06-28
INV0000066,ST001,PRD0066,48,8,40,21,2026-06-18
INV0000067,ST001,PRD0067,58,2,56,16,2026-06-06
INV0000068,ST001,PRD0068,26,7,19,8,2026-06-05
INV0000069,ST001,PRD0069,31,4,27,18,2026-06-08
INV0000070,ST001,PRD0070,80,4,76,15,2026-06-13
INV0000071,ST001,PRD0071,54,0,54,16,2026-06-10
INV0000072,ST001,PRD0072,35,5,30,9,2026-06-15
INV0000073,ST002,PRD0001,43,7,36,10,2026-06-30
INV0000074,ST002,PRD0002,60,1,59,15,2026-06-21
INV0000075,ST002,PRD0003,78,2,76,22,2026-06-30
INV0000076,ST002,PRD0004,54,8,46,14,2026-07-01
INV0000077,ST002,PRD0005,51,0,51,8,2026-06-13
INV0000078,ST002,PRD0006,77,1,76,10,2026-06-07
INV0000079,ST002,PRD0007,23,4,19,13,2026-06-30
INV0000080,ST002,PRD0008,77,5,72,19,2026-06-19
INV0000081,ST002,PRD0009,15,7,8,10,2026-06-26
INV0000082,ST002,PRD0010,48,3,45,18,2026-06-29
INV0000083,ST002,PRD0011,62,2,60,16,2026-06-24
INV0000084,ST002,PRD0012,11,5,6,11,2026-06-11
INV0000085,ST002,PRD0013,84,0,84,12,2026-06-18
INV0000086,ST002,PRD0014,80,8,72,16,2026-06-30
INV0000087,ST002,PRD0015,60,4,56,14,2026-06-22
INV0000088,ST002,PRD0016,47,1,46,15,2026-06-13
INV0000089,ST002,PRD0017,38,8,30,13,2026-06-20
INV0000090,ST002,PRD0018,6,6,0,9,2026-06-27
INV0000091,ST002,PRD0019,26,0,26,18,2026-06-25
INV0000092,ST002,PRD0020,42,1,41,18,2026-06-11
INV0000093,ST002,PRD0021,3,2,1,13,2026-06-05
INV0000094,ST002,PRD0022,72,4,68,9,2026-06-26
INV0000095,ST002,PRD0023,13,4,9,19,2026-06-10
INV0000096,ST002,PRD0024,46,1,45,9,2026-06-16
INV0000097,ST002,PRD0025,27,3,24,10,2026-06-17
INV0000098,ST002,PRD0026,60,6,54,14,2026-06-28
INV0000099,ST002,PRD0027,18,6,12,9,2026-06-24
INV0000100,ST002,PRD0028,41,1,40,22,2026-06-26
INV0000101,ST002,PRD0029,82,4,78,14,2026-06-13
INV0000102,ST002,PRD0030,76,2,74,19,2026-06-10
INV0000103,ST002,PRD0031,52,5,47,18,2026-06-12
INV0000104,ST002,PRD0032,77,0,77,14,2026-06-18
INV0000105,ST002,PRD0033,10,4,6,10,2026-06-11
INV0000106,ST002,PRD0034,32,1,31,8,2026-06-19
INV0000107,ST002,PRD0035,44,6,38,8,2026-06-23
INV0000108,ST002,PRD0036,13,4,9,20,2026-06-08
INV0000109,ST002,PRD0037,37,7,30,15,2026-06-19
INV0000110,ST002,PRD0038,37,6,31,13,2026-06-27
INV0000111,ST002,PRD0039,28,4,24,10,2026-06-09
INV0000112,ST002,PRD0040,31,0,31,15,2026-06-24
INV0000113,ST002,PRD0041,1,0,1,19,2026-06-27
INV0000114,ST002,PRD0042,44,4,40,8,2026-06-23
INV0000115,ST002,PRD0043,32,4,28,19,2026-06-25
INV0000116,ST002,PRD0044,71,0,71,11,2026-06-22
INV0000117,ST002,PRD0045,57,2,55,16,2026-06-15
INV0000118,ST002,PRD0046,25,0,25,9,2026-06-12
INV0000119,ST002,PRD0047,73,8,65,8,2026-06-06
INV0000120,ST002,PRD0048,55,6,49,15,2026-06-15
INV0000121,ST002,PRD0049,55,8,47,14,2026-06-03
INV0000122,ST002,PRD0050,39,3,36,20,2026-06-12
INV0000123,ST002,PRD0051,5,1,4,17,2026-06-06
INV0000124,ST002,PRD0052,40,2,38,19,2026-06-11
INV0000125,ST002,PRD0053,56,4,52,16,2026-06-06
INV0000126,ST002,PRD0054,7,1,6,9,2026-06-18
INV0000127,ST002,PRD0055,43,7,36,21,2026-06-20
INV0000128,ST002,PRD0056,28,8,20,22,2026-06-04
INV0000129,ST002,PRD0057,70,8,62,13,2026-06-15
INV0000130,ST002,PRD0058,26,0,26,18,2026-07-01
INV0000131,ST002,PRD0059,41,5,36,12,2026-06-08
INV0000132,ST002,PRD0060,66,4,62,11,2026-06-27
INV0000133,ST002,PRD0061,43,5,38,20,2026-06-22
INV0000134,ST002,PRD0062,73,2,71,15,2026-06-08
INV0000135,ST002,PRD0063,16,0,16,13,2026-06-07
INV0000136,ST002,PRD0064,57,5,52,21,2026-06-18
INV0000137,ST002,PRD0065,48,7,41,15,2026-06-10
INV0000138,ST002,PRD0066,31,2,29,18,2026-06-06
INV0000139,ST002,PRD0067,31,7,24,20,2026-06-28
INV0000140,ST002,PRD0068,60,0,60,9,2026-06-10
INV0000141,ST002,PRD0069,28,5,23,9,2026-06-14
INV0000142,ST002,PRD0070,54,4,50,12,2026-06-03
INV0000143,ST002,PRD0071,65,1,64,11,2026-06-08
INV0000144,ST002,PRD0072,34,4,30,19,2026-06-07
INV0000145,ST003,PRD0001,71,4,67,9,2026-06-25
INV0000146,ST003,PRD0002,0,0,0,13,2026-06-11
INV0000147,ST003,PRD0003,77,6,71,19,2026-06-19
INV0000148,ST003,PRD0004,38,1,37,11,2026-06-09
INV0000149,ST003,PRD0005,49,5,44,15,2026-06-12
INV0000150,ST003,PRD0006,58,3,55,16,2026-06-13
INV0000151,ST003,PRD0007,34,6,28,20,2026-06-05
INV0000152,ST003,PRD0008,52,5,47,10,2026-06-03
INV0000153,ST003,PRD0009,79,0,79,22,2026-06-24
INV0000154,ST003,PRD0010,67,2,65,10,2026-06-07
INV0000155,ST003,PRD0011,28,8,20,11,2026-06-08
INV0000156,ST003,PRD0012,30,5,25,10,2026-06-17
INV0000157,ST003,PRD0013,67,7,60,15,2026-06-14
INV0000158,ST003,PRD0014,6,3,3,9,2026-06-11
INV0000159,ST003,PRD0015,85,7,78,20,2026-06-24
INV0000160,ST003,PRD0016,26,5,21,14,2026-06-20
INV0000161,ST003,PRD0017,28,4,24,22,2026-06-18
INV0000162,ST003,PRD0018,83,8,75,9,2026-06-18
INV0000163,ST003,PRD0019,58,4,54,20,2026-06-27
INV0000164,ST003,PRD0020,52,0,52,22,2026-06-25
INV0000165,ST003,PRD0021,3,0,3,16,2026-06-19
INV0000166,ST003,PRD0022,45,0,45,15,2026-06-15
INV0000167,ST003,PRD0023,73,6,67,9,2026-06-03
INV0000168,ST003,PRD0024,76,3,73,13,2026-06-15
INV0000169,ST003,PRD0025,36,5,31,12,2026-06-18
INV0000170,ST003,PRD0026,10,5,5,18,2026-06-23
INV0000171,ST003,PRD0027,55,0,55,21,2026-06-09
INV0000172,ST003,PRD0028,47,5,42,16,2026-06-27
INV0000173,ST003,PRD0029,47,5,42,10,2026-06-26
INV0000174,ST003,PRD0030,74,5,69,15,2026-06-23
INV0000175,ST003,PRD0031,83,3,80,14,2026-06-18
INV0000176,ST003,PRD0032,21,2,19,14,2026-06-05
INV0000177,ST003,PRD0033,28,1,27,18,2026-06-21
INV0000178,ST003,PRD0034,37,1,36,18,2026-06-21
INV0000179,ST003,PRD0035,64,6,58,14,2026-06-16
INV0000180,ST003,PRD0036,20,6,14,18,2026-07-01
INV0000181,ST003,PRD0037,78,1,77,19,2026-06-27
INV0000182,ST003,PRD0038,60,7,53,21,2026-06-19
INV0000183,ST003,PRD0039,28,7,21,11,2026-06-09
INV0000184,ST003,PRD0040,11,5,6,13,2026-06-21
INV0000185,ST003,PRD0041,48,7,41,17,2026-06-12
INV0000186,ST003,PRD0042,22,3,19,19,2026-06-05
INV0000187,ST003,PRD0043,19,3,16,12,2026-06-11
INV0000188,ST003,PRD0044,47,2,45,17,2026-06-30
INV0000189,ST003,PRD0045,70,7,63,10,2026-06-27
INV0000190,ST003,PRD0046,61,4,57,15,2026-06-22
INV0000191,ST003,PRD0047,73,4,69,14,2026-06-14
INV0000192,ST003,PRD0048,71,4,67,8,2026-06-16
INV0000193,ST003,PRD0049,72,3,69,20,2026-06-24
INV0000194,ST003,PRD0050,53,4,49,18,2026-06-10
INV0000195,ST003,PRD0051,34,4,30,17,2026-06-04
INV0000196,ST003,PRD0052,19,8,11,19,2026-06-26
INV0000197,ST003,PRD0053,44,3,41,8,2026-06-13
INV0000198,ST003,PRD0054,6,2,4,13,2026-06-03
INV0000199,ST003,PRD0055,74,1,73,9,2026-06-06
INV0000200,ST003,PRD0056,51,0,51,13,2026-06-18
INV0000201,ST003,PRD0057,14,1,13,15,2026-06-28
INV0000202,ST003,PRD0058,58,6,52,18,2026-06-03
INV0000203,ST003,PRD0059,24,3,21,18,2026-07-01
INV0000204,ST003,PRD0060,1,1,0,22,2026-06-05
INV0000205,ST003,PRD0061,58,2,56,22,2026-06-05
INV0000206,ST003,PRD0062,73,7,66,8,2026-06-16
INV0000207,ST003,PRD0063,38,1,37,9,2026-06-28
INV0000208,ST003,PRD0064,65,2,63,17,2026-06-06
INV0000209,ST003,PRD0065,67,2,65,13,2026-07-01
INV0000210,ST003,PRD0066,59,0,59,8,2026-06-17
INV0000211,ST003,PRD0067,69,7,62,17,2026-06-14
INV0000212,ST003,PRD0068,20,1,19,16,2026-06-25
INV0000213,ST003,PRD0069,53,2,51,15,2026-06-21
INV0000214,ST003,PRD0070,24,1,23,17,2026-06-24
INV0000215,ST003,PRD0071,77,3,74,21,2026-06-19
INV0000216,ST003,PRD0072,25,2,23,18,2026-06-12
INV0000217,ST004,PRD0001,3,0,3,16,2026-06-27
INV0000218,ST004,PRD0002,37,3,34,10,2026-06-27
INV0000219,ST004,PRD0003,54,4,50,9,2026-06-05
INV0000220,ST004,PRD0004,62,5,57,12,2026-06-05
INV0000221,ST004,PRD0005,19,5,14,16,2026-06-29
INV0000222,ST004,PRD0006,29,5,24,10,2026-06-26
INV0000223,ST004,PRD0007,72,0,72,13,2026-06-23
INV0000224,ST004,PRD0008,0,0,0,19,2026-06-19
INV0000225,ST004,PRD0009,43,0,43,11,2026-06-12
INV0000226,ST004,PRD0010,45,8,37,18,2026-06-21
INV0000227,ST004,PRD0011,16,7,9,22,2026-06-21
INV0000228,ST004,PRD0012,40,4,36,11,2026-06-05
INV0000229,ST004,PRD0013,46,1,45,16,2026-06-21
INV0000230,ST004,PRD0014,66,7,59,22,2026-06-10
INV0000231,ST004,PRD0015,76,5,71,18,2026-06-18
INV0000232,ST004,PRD0016,30,0,30,15,2026-06-27
INV0000233,ST004,PRD0017,7,3,4,9,2026-06-27
INV0000234,ST004,PRD0018,0,0,0,10,2026-06-10
INV0000235,ST004,PRD0019,84,6,78,20,2026-06-09
INV0000236,ST004,PRD0020,18,3,15,22,2026-06-03
INV0000237,ST004,PRD0021,46,6,40,16,2026-06-14
INV0000238,ST004,PRD0022,78,1,77,14,2026-06-30
INV0000239,ST004,PRD0023,69,6,63,21,2026-06-18
INV0000240,ST004,PRD0024,16,4,12,9,2026-06-16
INV0000241,ST004,PRD0025,37,0,37,15,2026-06-15
INV0000242,ST004,PRD0026,14,5,9,9,2026-06-18
INV0000243,ST004,PRD0027,13,0,13,12,2026-06-24
INV0000244,ST004,PRD0028,29,0,29,14,2026-06-13
INV0000245,ST004,PRD0029,19,1,18,15,2026-06-22
INV0000246,ST004,PRD0030,75,2,73,17,2026-06-29
INV0000247,ST004,PRD0031,13,3,10,17,2026-06-22
INV0000248,ST004,PRD0032,24,0,24,15,2026-06-09
INV0000249,ST004,PRD0033,11,5,6,14,2026-06-08
INV0000250,ST004,PRD0034,47,8,39,16,2026-06-26
INV0000251,ST004,PRD0035,36,4,32,9,2026-06-17
INV0000252,ST004,PRD0036,82,4,78,21,2026-06-26
INV0000253,ST004,PRD0037,77,7,70,20,2026-06-13
INV0000254,ST004,PRD0038,47,4,43,10,2026-06-15
INV0000255,ST004,PRD0039,13,0,13,12,2026-06-08
INV0000256,ST004,PRD0040,47,3,44,18,2026-06-05
INV0000257,ST004,PRD0041,3,2,1,20,2026-06-04
INV0000258,ST004,PRD0042,31,2,29,12,2026-06-06
INV0000259,ST004,PRD0043,49,4,45,9,2026-06-12
INV0000260,ST004,PRD0044,10,2,8,14,2026-06-08
INV0000261,ST004,PRD0045,49,6,43,19,2026-06-15
INV0000262,ST004,PRD0046,25,3,22,11,2026-06-24
INV0000263,ST004,PRD0047,60,4,56,19,2026-06-29
INV0000264,ST004,PRD0048,5,0,5,22,2026-06-04
INV0000265,ST004,PRD0049,61,1,60,21,2026-06-26
INV0000266,ST004,PRD0050,14,0,14,20,2026-06-28
INV0000267,ST004,PRD0051,44,5,39,20,2026-06-25
INV0000268,ST004,PRD0052,68,1,67,18,2026-06-17
INV0000269,ST004,PRD0053,82,7,75,13,2026-06-13
INV0000270,ST004,PRD0054,22,4,18,12,2026-06-15
INV0000271,ST004,PRD0055,63,4,59,20,2026-06-28
INV0000272,ST004,PRD0056,36,5,31,8,2026-07-01
INV0000273,ST004,PRD0057,75,3,72,8,2026-06-19
INV0000274,ST004,PRD0058,80,1,79,22,2026-06-29
INV0000275,ST004,PRD0059,8,1,7,20,2026-06-16
INV0000276,ST004,PRD0060,23,3,20,13,2026-06-11
INV0000277,ST004,PRD0061,22,4,18,22,2026-06-14
INV0000278,ST004,PRD0062,52,7,45,17,2026-06-28
INV0000279,ST004,PRD0063,73,4,69,18,2026-06-08
INV0000280,ST004,PRD0064,82,5,77,20,2026-06-11
INV0000281,ST004,PRD0065,23,5,18,18,2026-06-24
INV0000282,ST004,PRD0066,48,8,40,19,2026-06-06
INV0000283,ST004,PRD0067,13,5,8,9,2026-06-07
INV0000284,ST004,PRD0068,28,3,25,11,2026-06-14
INV0000285,ST004,PRD0069,56,0,56,22,2026-06-09
INV0000286,ST004,PRD0070,9,6,3,12,2026-06-15
INV0000287,ST004,PRD0071,57,5,52,14,2026-06-07
INV0000288,ST004,PRD0072,44,1,43,13,2026-06-15
INV0000289,ST005,PRD0001,9,5,4,15,2026-06-03
INV0000290,ST005,PRD0002,30,7,23,13,2026-06-25
INV0000291,ST005,PRD0003,69,2,67,10,2026-06-09
INV0000292,ST005,PRD0004,85,5,80,11,2026-06-27
INV0000293,ST005,PRD0005,82,5,77,12,2026-06-18
INV0000294,ST005,PRD0006,29,0,29,21,2026-06-29
INV0000295,ST005,PRD0007,13,7,6,14,2026-06-04
INV0000296,ST005,PRD0008,37,2,35,17,2026-06-28
INV0000297,ST005,PRD0009,42,6,36,9,2026-06-03
INV0000298,ST005,PRD0010,66,2,64,8,2026-06-19
INV0000299,ST005,PRD0011,16,4,12,20,2026-06-07
INV0000300,ST005,PRD0012,50,7,43,12,2026-06-21
INV0000301,ST005,PRD0013,30,1,29,8,2026-06-10
INV0000302,ST005,PRD0014,0,0,0,16,2026-06-21
INV0000303,ST005,PRD0015,85,5,80,10,2026-06-11
INV0000304,ST005,PRD0016,31,0,31,12,2026-06-03
INV0000305,ST005,PRD0017,74,6,68,13,2026-06-08
INV0000306,ST005,PRD0018,50,4,46,18,2026-06-12
INV0000307,ST005,PRD0019,77,2,75,16,2026-06-20
INV0000308,ST005,PRD0020,53,4,49,16,2026-06-13
INV0000309,ST005,PRD0021,2,0,2,21,2026-06-03
INV0000310,ST005,PRD0022,70,2,68,14,2026-06-11
INV0000311,ST005,PRD0023,73,7,66,12,2026-06-30
INV0000312,ST005,PRD0024,83,7,76,14,2026-06-29
INV0000313,ST005,PRD0025,6,3,3,19,2026-06-21
INV0000314,ST005,PRD0026,54,8,46,8,2026-06-17
INV0000315,ST005,PRD0027,6,2,4,9,2026-06-25
INV0000316,ST005,PRD0028,13,4,9,20,2026-06-30
INV0000317,ST005,PRD0029,12,2,10,10,2026-06-18
INV0000318,ST005,PRD0030,65,6,59,11,2026-06-20
INV0000319,ST005,PRD0031,48,0,48,11,2026-06-26
INV0000320,ST005,PRD0032,39,3,36,11,2026-06-17
INV0000321,ST005,PRD0033,45,5,40,22,2026-06-18
INV0000322,ST005,PRD0034,40,2,38,17,2026-06-24
INV0000323,ST005,PRD0035,36,1,35,19,2026-06-21
INV0000324,ST005,PRD0036,9,3,6,18,2026-07-01
INV0000325,ST005,PRD0037,82,2,80,14,2026-06-27
INV0000326,ST005,PRD0038,1,0,1,10,2026-06-29
INV0000327,ST005,PRD0039,32,8,24,18,2026-06-23
INV0000328,ST005,PRD0040,13,8,5,11,2026-06-07
INV0000329,ST005,PRD0041,39,2,37,16,2026-06-08
INV0000330,ST005,PRD0042,10,1,9,11,2026-06-08
INV0000331,ST005,PRD0043,24,0,24,17,2026-06-29
INV0000332,ST005,PRD0044,21,1,20,11,2026-06-23
INV0000333,ST005,PRD0045,71,1,70,9,2026-06-09
INV0000334,ST005,PRD0046,21,0,21,12,2026-06-03
INV0000335,ST005,PRD0047,40,6,34,12,2026-06-08
INV0000336,ST005,PRD0048,75,1,74,9,2026-06-09
INV0000337,ST005,PRD0049,42,4,38,14,2026-07-01
INV0000338,ST005,PRD0050,20,1,19,19,2026-06-11
INV0000339,ST005,PRD0051,61,6,55,18,2026-06-28
INV0000340,ST005,PRD0052,0,0,0,12,2026-06-15
INV0000341,ST005,PRD0053,16,7,9,16,2026-06-27
INV0000342,ST005,PRD0054,75,1,74,20,2026-06-20
INV0000343,ST005,PRD0055,31,7,24,12,2026-06-23
INV0000344,ST005,PRD0056,26,2,24,12,2026-06-21
INV0000345,ST005,PRD0057,12,6,6,11,2026-06-06
INV0000346,ST005,PRD0058,52,1,51,11,2026-06-06
INV0000347,ST005,PRD0059,54,6,48,15,2026-06-19
INV0000348,ST005,PRD0060,54,8,46,11,2026-06-05
INV0000349,ST005,PRD0061,17,7,10,17,2026-06-05
INV0000350,ST005,PRD0062,76,5,71,12,2026-06-06
INV0000351,ST005,PRD0063,3,0,3,13,2026-06-28
INV0000352,ST005,PRD0064,46,0,46,15,2026-06-17
INV0000353,ST005,PRD0065,80,4,76,14,2026-06-09
INV0000354,ST005,PRD0066,3,0,3,18,2026-06-21
INV0000355,ST005,PRD0067,18,1,17,21,2026-06-29
INV0000356,ST005,PRD0068,62,8,54,22,2026-06-09
INV0000357,ST005,PRD0069,24,5,19,18,2026-06-26
INV0000358,ST005,PRD0070,77,0,77,17,2026-06-27
INV0000359,ST005,PRD0071,16,5,11,20,2026-06-23
INV0000360,ST005,PRD0072,61,3,58,21,2026-06-21
INV0000361,ST006,PRD0001,72,8,64,20,2026-06-11
INV0000362,ST006,PRD0002,33,3,30,16,2026-06-10
INV0000363,ST006,PRD0003,43,6,37,9,2026-06-05
INV0000364,ST006,PRD0004,59,8,51,13,2026-06-22
INV0000365,ST006,PRD0005,35,5,30,18,2026-06-15
INV0000366,ST006,PRD0006,50,1,49,19,2026-07-01
INV0000367,ST006,PRD0007,66,0,66,20,2026-06-11
INV0000368,ST006,PRD0008,53,2,51,18,2026-06-28
INV0000369,ST006,PRD0009,42,5,37,12,2026-07-01
INV0000370,ST006,PRD0010,55,5,50,8,2026-06-08
INV0000371,ST006,PRD0011,49,8,41,9,2026-06-22
INV0000372,ST006,PRD0012,84,5,79,13,2026-06-12
INV0000373,ST006,PRD0013,25,0,25,19,2026-06-14
INV0000374,ST006,PRD0014,11,8,3,20,2026-07-01
INV0000375,ST006,PRD0015,54,1,53,17,2026-06-07
INV0000376,ST006,PRD0016,46,0,46,13,2026-06-08
INV0000377,ST006,PRD0017,44,6,38,22,2026-06-07
INV0000378,ST006,PRD0018,62,0,62,14,2026-06-18
INV0000379,ST006,PRD0019,70,3,67,10,2026-06-19
INV0000380,ST006,PRD0020,57,7,50,8,2026-06-07
INV0000381,ST006,PRD0021,59,3,56,12,2026-06-10
INV0000382,ST006,PRD0022,34,3,31,13,2026-06-22
INV0000383,ST006,PRD0023,21,3,18,21,2026-06-15
INV0000384,ST006,PRD0024,85,8,77,15,2026-06-08
INV0000385,ST006,PRD0025,52,3,49,15,2026-06-12
INV0000386,ST006,PRD0026,0,0,0,8,2026-06-22
INV0000387,ST006,PRD0027,80,6,74,13,2026-06-27
INV0000388,ST006,PRD0028,9,7,2,8,2026-06-27
INV0000389,ST006,PRD0029,11,8,3,16,2026-06-10
INV0000390,ST006,PRD0030,19,2,17,16,2026-06-24
INV0000391,ST006,PRD0031,37,7,30,9,2026-06-11
INV0000392,ST006,PRD0032,26,7,19,12,2026-07-01
INV0000393,ST006,PRD0033,59,7,52,19,2026-06-29
INV0000394,ST006,PRD0034,73,0,73,19,2026-06-25
INV0000395,ST006,PRD0035,33,2,31,15,2026-06-28
INV0000396,ST006,PRD0036,43,3,40,8,2026-06-13
INV0000397,ST006,PRD0037,8,8,0,18,2026-06-30
INV0000398,ST006,PRD0038,83,7,76,14,2026-06-14
INV0000399,ST006,PRD0039,17,4,13,9,2026-06-12
INV0000400,ST006,PRD0040,63,0,63,12,2026-06-04
INV0000401,ST006,PRD0041,30,4,26,13,2026-06-08
INV0000402,ST006,PRD0042,38,5,33,18,2026-06-25
INV0000403,ST006,PRD0043,12,0,12,9,2026-06-10
INV0000404,ST006,PRD0044,74,8,66,10,2026-06-14
INV0000405,ST006,PRD0045,12,6,6,22,2026-06-21
INV0000406,ST006,PRD0046,25,2,23,13,2026-06-21
INV0000407,ST006,PRD0047,75,4,71,14,2026-06-09
INV0000408,ST006,PRD0048,4,0,4,15,2026-06-23
INV0000409,ST006,PRD0049,29,3,26,13,2026-06-30
INV0000410,ST006,PRD0050,54,6,48,21,2026-06-24
INV0000411,ST006,PRD0051,71,5,66,11,2026-07-01
INV0000412,ST006,PRD0052,21,4,17,22,2026-06-07
INV0000413,ST006,PRD0053,85,4,81,21,2026-06-16
INV0000414,ST006,PRD0054,84,3,81,11,2026-06-13
INV0000415,ST006,PRD0055,0,0,0,8,2026-06-17
INV0000416,ST006,PRD0056,1,0,1,8,2026-06-13
INV0000417,ST006,PRD0057,80,7,73,15,2026-06-25
INV0000418,ST006,PRD0058,70,3,67,15,2026-06-20
INV0000419,ST006,PRD0059,36,4,32,8,2026-06-18
INV0000420,ST006,PRD0060,2,2,0,21,2026-06-12
INV0000421,ST006,PRD0061,60,1,59,10,2026-06-25
INV0000422,ST006,PRD0062,3,1,2,21,2026-06-30
INV0000423,ST006,PRD0063,35,7,28,13,2026-06-16
INV0000424,ST006,PRD0064,12,1,11,18,2026-06-29
INV0000425,ST006,PRD0065,33,8,25,10,2026-06-20
INV0000426,ST006,PRD0066,48,3,45,20,2026-06-12
INV0000427,ST006,PRD0067,0,0,0,15,2026-06-29
INV0000428,ST006,PRD0068,51,7,44,13,2026-06-12
INV0000429,ST006,PRD0069,79,0,79,15,2026-06-17
INV0000430,ST006,PRD0070,3,3,0,9,2026-06-26
INV0000431,ST006,PRD0071,40,3,37,8,2026-06-29
INV0000432,ST006,PRD0072,30,8,22,14,2026-06-03
INV0000433,ST007,PRD0001,71,1,70,18,2026-06-20
INV0000434,ST007,PRD0002,38,2,36,17,2026-06-09
INV0000435,ST007,PRD0003,34,2,32,16,2026-06-10
INV0000436,ST007,PRD0004,19,8,11,18,2026-06-29
INV0000437,ST007,PRD0005,45,7,38,9,2026-06-18
INV0000438,ST007,PRD0006,61,8,53,10,2026-06-04
INV0000439,ST007,PRD0007,36,2,34,14,2026-06-26
INV0000440,ST007,PRD0008,0,0,0,19,2026-06-20
INV0000441,ST007,PRD0009,59,6,53,12,2026-06-08
INV0000442,ST007,PRD0010,9,8,1,17,2026-06-05
INV0000443,ST007,PRD0011,43,4,39,19,2026-06-20
INV0000444,ST007,PRD0012,36,7,29,18,2026-06-07
INV0000445,ST007,PRD0013,61,2,59,14,2026-06-22
INV0000446,ST007,PRD0014,4,2,2,8,2026-06-19
INV0000447,ST007,PRD0015,5,3,2,15,2026-06-17
INV0000448,ST007,PRD0016,68,8,60,21,2026-06-04
